File;Sample;Sample ID;Parameter, Goal;Value;ESD
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000207.lst;000207;;QCalcite;0.9728;0.0023
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000207.lst;000207;;Qdolomite;0.0272;0.0023
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000207.lst;000207;;Rwp;5.8500;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000207.lst;000207;;Rexp;5.4600;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000207.lst;000207;;Chi2;1.1480;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000207.lst;000207;;GOF;1.0714;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000220.lst;000220;;QCalcite;0.9974;0.0012
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000220.lst;000220;;QHematite;0.0026;0.0012
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000220.lst;000220;;Rwp;7.7200;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000220.lst;000220;;Rexp;5.6200;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000220.lst;000220;;Chi2;1.8870;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000220.lst;000220;;GOF;1.3737;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000225.lst;000225;;QCalcite;0.9866;0.0019
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000225.lst;000225;;Qdolomite;0.0134;0.0019
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000225.lst;000225;;Rwp;5.0900;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000225.lst;000225;;Rexp;5.7500;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000225.lst;000225;;Chi2;0.7836;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000225.lst;000225;;GOF;0.8852;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000227.lst;000227;;QCalcite;0.9783;0.002
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000227.lst;000227;;Qdolomite;0.0217;0.002
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000227.lst;000227;;Rwp;5.4500;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000227.lst;000227;;Rexp;5.5500;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000227.lst;000227;;Chi2;0.9643;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000227.lst;000227;;GOF;0.9820;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000228.lst;000228;;QCalcite;0.94651;0.00095
