File;Sample;Sample ID;Parameter, Goal;Value;ESD
E:/nextcloud/ISicily/petrography/XRD/000101p.lst;000101p;;QCalcite;0.99588;0.00075
E:/nextcloud/ISicily/petrography/XRD/000101p.lst;000101p;;QSiO2p3221;0.00412;0.00075
E:/nextcloud/ISicily/petrography/XRD/000101p.lst;000101p;;Rwp;5.0500;
E:/nextcloud/ISicily/petrography/XRD/000101p.lst;000101p;;Rexp;5.6800;
E:/nextcloud/ISicily/petrography/XRD/000101p.lst;000101p;;Chi2;0.7905;
E:/nextcloud/ISicily/petrography/XRD/000101p.lst;000101p;;GOF;0.8891;
E:/nextcloud/ISicily/petrography/XRD/000103vg.lst;000103vg;;QCalcite;0.99459;0.00032
E:/nextcloud/ISicily/petrography/XRD/000103vg.lst;000103vg;;QSiO2p3221;0.00541;0.00032
E:/nextcloud/ISicily/petrography/XRD/000103vg.lst;000103vg;;Rwp;8.4600;
E:/nextcloud/ISicily/petrography/XRD/000103vg.lst;000103vg;;Rexp;7.4100;
E:/nextcloud/ISicily/petrography/XRD/000103vg.lst;000103vg;;Chi2;1.3035;
E:/nextcloud/ISicily/petrography/XRD/000103vg.lst;000103vg;;GOF;1.1417;
E:/nextcloud/ISicily/petrography/XRD/000104.lst;000104;;QCalcite;0.9958;0.0011
E:/nextcloud/ISicily/petrography/XRD/000104.lst;000104;;Qsiderite;0.0042;0.0011
E:/nextcloud/ISicily/petrography/XRD/000104.lst;000104;;Rwp;5.5800;
E:/nextcloud/ISicily/petrography/XRD/000104.lst;000104;;Rexp;5.5100;
E:/nextcloud/ISicily/petrography/XRD/000104.lst;000104;;Chi2;1.0256;
E:/nextcloud/ISicily/petrography/XRD/000104.lst;000104;;GOF;1.0127;
E:/nextcloud/ISicily/petrography/XRD/000114.lst;000114;;QCalcite;1;0
E:/nextcloud/ISicily/petrography/XRD/000114.lst;000114;;Rwp;5.5500;
E:/nextcloud/ISicily/petrography/XRD/000114.lst;000114;;Rexp;5.7400;
E:/nextcloud/ISicily/petrography/XRD/000114.lst;000114;;Chi2;0.9349;
E:/nextcloud/ISicily/petrography/XRD/000114.lst;000114;;GOF;0.9669;
E:/nextcloud/ISicily/petrography/XRD/000131darkp.lst;000131darkp;;QCalcite;0.8227;0.0044
E:/nextcloud/ISicily/petrography/XRD/000131darkp.lst;000131darkp;;QSiO2p3221;0.106;0.0028
E:/nextcloud/ISicily/petrography/XRD/000131darkp.lst;000131darkp;;QEnstatiteMg06Fe04Ca;0.0155;0.0026
E:/nextcloud/ISicily/petrography/XRD/000131darkp.lst;000131darkp;;QFerrosiliteFe;0.0104;0.0028
E:/nextcloud/ISicily/petrography/XRD/000131darkp.lst;000131darkp;;QDolomite;0.0453;0.0019
E:/nextcloud/ISicily/petrography/XRD/000131darkp.lst;000131darkp;;Rwp;5.3300;
E:/nextcloud/ISicily/petrography/XRD/000131darkp.lst;000131darkp;;Rexp;5.6800;
E:/nextcloud/ISicily/petrography/XRD/000131darkp.lst;000131darkp;;Chi2;0.8806;
E:/nextcloud/ISicily/petrography/XRD/000131darkp.lst;000131darkp;;GOF;0.9384;
E:/nextcloud/ISicily/petrography/XRD/000131light.lst;000131light;;QCalcite;0.8437;0.0053
E:/nextcloud/ISicily/petrography/XRD/000131light.lst;000131light;;QSiO2p3221;0.1103;0.0032
E:/nextcloud/ISicily/petrography/XRD/000131light.lst;000131light;;QEnstatiteMg06Fe04Ca;0.0217;0.0028
E:/nextcloud/ISicily/petrography/XRD/000131light.lst;000131light;;QAlbite;0.0244;0.0039
E:/nextcloud/ISicily/petrography/XRD/000131light.lst;000131light;;Rwp;5.0200;
E:/nextcloud/ISicily/petrography/XRD/000131light.lst;000131light;;Rexp;5.7900;
E:/nextcloud/ISicily/petrography/XRD/000131light.lst;000131light;;Chi2;0.7517;
E:/nextcloud/ISicily/petrography/XRD/000131light.lst;000131light;;GOF;0.8670;
E:/nextcloud/ISicily/petrography/XRD/000131retrovg.lst;000131retrovg;;QCalcite;0.7978;0.0023
E:/nextcloud/ISicily/petrography/XRD/000131retrovg.lst;000131retrovg;;Qhydrotalcite;0.00657;0.00093
E:/nextcloud/ISicily/petrography/XRD/000131retrovg.lst;000131retrovg;;QGypsum;0.0405;0.0013
E:/nextcloud/ISicily/petrography/XRD/000131retrovg.lst;000131retrovg;;QSiO2p3221;0.0828;0.0018
E:/nextcloud/ISicily/petrography/XRD/000131retrovg.lst;000131retrovg;;QAlbite;0.0692;0.0014
E:/nextcloud/ISicily/petrography/XRD/000131retrovg.lst;000131retrovg;;QSrCO3;0.00312;0.00024
E:/nextcloud/ISicily/petrography/XRD/000131retrovg.lst;000131retrovg;;Rwp;9.0600;
E:/nextcloud/ISicily/petrography/XRD/000131retrovg.lst;000131retrovg;;Rexp;7.2000;
E:/nextcloud/ISicily/petrography/XRD/000131retrovg.lst;000131retrovg;;Chi2;1.5834;
E:/nextcloud/ISicily/petrography/XRD/000131retrovg.lst;000131retrovg;;GOF;1.2583;
E:/nextcloud/ISicily/petrography/XRD/000135orangep.lst;000135orangep;;QCalcite;0.8655;0.006
E:/nextcloud/ISicily/petrography/XRD/000135orangep.lst;000135orangep;;Qmusc2m1;0.0489;0.0036
E:/nextcloud/ISicily/petrography/XRD/000135orangep.lst;000135orangep;;Qorthoclase;0.0856;0.0057
E:/nextcloud/ISicily/petrography/XRD/000135orangep.lst;000135orangep;;Rwp;5.4100;
E:/nextcloud/ISicily/petrography/XRD/000135orangep.lst;000135orangep;;Rexp;5.5600;
E:/nextcloud/ISicily/petrography/XRD/000135orangep.lst;000135orangep;;Chi2;0.9468;
E:/nextcloud/ISicily/petrography/XRD/000135orangep.lst;000135orangep;;GOF;0.9730;
E:/nextcloud/ISicily/petrography/XRD/000135yellowp.lst;000135yellowp;;QCalcite;1;0
E:/nextcloud/ISicily/petrography/XRD/000135yellowp.lst;000135yellowp;;Rwp;4.8900;
E:/nextcloud/ISicily/petrography/XRD/000135yellowp.lst;000135yellowp;;Rexp;5.7200;
E:/nextcloud/ISicily/petrography/XRD/000135yellowp.lst;000135yellowp;;Chi2;0.7308;
E:/nextcloud/ISicily/petrography/XRD/000135yellowp.lst;000135yellowp;;GOF;0.8549;
E:/nextcloud/ISicily/petrography/XRD/000146pvg.lst;000146pvg;;QCalcite;0.99871;0.00024
E:/nextcloud/ISicily/petrography/XRD/000146pvg.lst;000146pvg;;QSiO2p3121;0.00129;0.00024
E:/nextcloud/ISicily/petrography/XRD/000146pvg.lst;000146pvg;;Rwp;11.7600;
