File;Sample;Sample ID;Parameter, Goal;Value;ESD
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao5.lst;tao5;tao5;Qalbint;0.1467;0.0098
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao5.lst;tao5;tao5;Qcalcite;0.2872;0.0082
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao5.lst;tao5;tao5;Qdolomite;0.0094;0.0032
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao5.lst;tao5;tao5;Qmusc2m1;0.1108;0.0072
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao5.lst;tao5;tao5;QSiO2p3121;0.4459;0.0095
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao5.lst;tao5;tao5;Rwp;5.1000;
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao5.lst;tao5;tao5;Rexp;5.6900;
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao5.lst;tao5;tao5;Chi2;0.8034;
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao5.lst;tao5;tao5;GOF;0.8963;
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao7.lst;tao7;tao7;Qalbint;0.2758;0.0055
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao7.lst;tao7;tao7;Qcalcite;0.0793;0.0036
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao7.lst;tao7;tao7;Qdolomite;0.0051;0.0017
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao7.lst;tao7;tao7;Qmusc2m1;0.0583;0.0042
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao7.lst;tao7;tao7;QSiO2p3121;0.2399;0.0041
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao7.lst;tao7;tao7;Qdiopside;0.3201;0.0058
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao7.lst;tao7;tao7;Qhematite;0.0214;0.0019
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao7.lst;tao7;tao7;Rwp;5.3200;
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao7.lst;tao7;tao7;Rexp;5.6600;
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao7.lst;tao7;tao7;Chi2;0.8835;
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao7.lst;tao7;tao7;GOF;0.9399;
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao31.lst;tao31;tao31;Qalbint;0.0278;0.0051
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao31.lst;tao31;tao31;Qcalcite;0.9611;0.007
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao31.lst;tao31;tao31;Qdolomite;0.0059;0.0027
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao31.lst;tao31;tao31;Qmusc2m1;0.0016;0.0028
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao31.lst;tao31;tao31;QSiO2p3121;0.0035;0.0019
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao31.lst;tao31;tao31;Rwp;6.2300;
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao31.lst;tao31;tao31;Rexp;5.9600;
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao31.lst;tao31;tao31;Chi2;1.0927;
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao31.lst;tao31;tao31;GOF;1.0453;
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao57.lst;tao57;tao57;Qalbint;0;0
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao57.lst;tao57;tao57;Qcalcite;0.9968;0.001
C:/Users/Alessia/Dropbox/Taormina Mostra/XRD/xrd/tao57.lst;tao57;tao57;Qdolomite;0.0027;0.00098
