File;Sample;Sample ID;Parameter, Goal;Value;ESD
C:/Users/Alessia/OneDrive - Nexus365/oxford/inart2024/XRD/marblesXRD-ISic-KDL_PM/marblesXRD-ISic-KDL_PM/000004.lst;000004;;Qcalcite;0.9472;0.0049
C:/Users/Alessia/OneDrive - Nexus365/oxford/inart2024/XRD/marblesXRD-ISic-KDL_PM/marblesXRD-ISic-KDL_PM/000004.lst;000004;;Qcalcitmg;0.0167;0.0038
C:/Users/Alessia/OneDrive - Nexus365/oxford/inart2024/XRD/marblesXRD-ISic-KDL_PM/marblesXRD-ISic-KDL_PM/000004.lst;000004;;Qdolomite;0.0361;0.0032
C:/Users/Alessia/OneDrive - Nexus365/oxford/inart2024/XRD/marblesXRD-ISic-KDL_PM/marblesXRD-ISic-KDL_PM/000004.lst;000004;;Rwp;4.8400;
C:/Users/Alessia/OneDrive - Nexus365/oxford/inart2024/XRD/marblesXRD-ISic-KDL_PM/marblesXRD-ISic-KDL_PM/000004.lst;000004;;Rexp;5.6100;
C:/Users/Alessia/OneDrive - Nexus365/oxford/inart2024/XRD/marblesXRD-ISic-KDL_PM/marblesXRD-ISic-KDL_PM/000004.lst;000004;;Chi2;0.7443;
C:/Users/Alessia/OneDrive - Nexus365/oxford/inart2024/XRD/marblesXRD-ISic-KDL_PM/marblesXRD-ISic-KDL_PM/000004.lst;000004;;GOF;0.8627;
C:/Users/Alessia/OneDrive - Nexus365/oxford/inart2024/XRD/marblesXRD-ISic-KDL_PM/marblesXRD-ISic-KDL_PM/000034.lst;000034;;Qcalcite;0.854;0.01
C:/Users/Alessia/OneDrive - Nexus365/oxford/inart2024/XRD/marblesXRD-ISic-KDL_PM/marblesXRD-ISic-KDL_PM/000034.lst;000034;;Qcalcitmg;0.1152;0.0097
C:/Users/Alessia/OneDrive - Nexus365/oxford/inart2024/XRD/marblesXRD-ISic-KDL_PM/marblesXRD-ISic-KDL_PM/000034.lst;000034;;Qdolomite;0.0306;0.0027
C:/Users/Alessia/OneDrive - Nexus365/oxford/inart2024/XRD/marblesXRD-ISic-KDL_PM/marblesXRD-ISic-KDL_PM/000034.lst;000034;;Rwp;5.0300;
C:/Users/Alessia/OneDrive - Nexus365/oxford/inart2024/XRD/marblesXRD-ISic-KDL_PM/marblesXRD-ISic-KDL_PM/000034.lst;000034;;Rexp;5.4600;
C:/Users/Alessia/OneDrive - Nexus365/oxford/inart2024/XRD/marblesXRD-ISic-KDL_PM/marblesXRD-ISic-KDL_PM/000034.lst;000034;;Chi2;0.8487;
