SOURCE: 0-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.722304e+03  6.73e+01  0.1517  
P  K  2.565917e-01  4.04e+01  4.421e-06  
S  K  3.395002e+03  8.37e+01  0.01768  
Cl  K  3.663048e+03  2.14e+02  0.009423  
Ar  K  6.830525e-01  1.91e+02  9.905e-07  
K  K  6.018073e+04  2.72e+02  0.04332  
Ca  K  1.499196e+04  1.66e+02  0.007639  
Sc  K  2.868185e-01  8.81e+01  1.025e-07  
Ti  K  3.460779e+03  1.09e+02  0.0008514  
V  K  9.110438e+01  9.98e+01  1.747e-05  
Cr  K  7.991242e+03  1.44e+02  0.001129  
Mn  K  2.008399e+03  1.27e+02  0.0002469  
Fe  K  1.979762e+05  4.76e+02  0.02065  
Co  K  1.191812e+03  1.52e+02  0.0001118  
Ni  K  1.147955e+03  1.16e+02  0.0001047  
Cu  K  6.395384e+02  1.12e+02  5.554e-05  
Zn  K  1.411515e+03  1.18e+02  0.0001204  
As  K  7.156898e+02  1.58e+02  6.656e-05  
Rb  K  7.265916e+01  7.35e+01  1.508e-05  
Sr  K  1.117674e+02  5.26e+01  3.269e-05  
Y  K  3.650862e-01  1.66e+01  1.876e-07  
Zr  K  4.178379e+01  2.01e+05  3.998e-05  
Rh  L  5.969614e+04  4.60e+02  0.1938  
Pd  L  1.898383e+01  3.98e+02  4.382e-05  
Hg  L  1.011156e+03  1.53e+02  0.0001808  
Pb  L  4.225849e+01  1.88e+02  8.912e-06  

SOURCE: 0-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.783842e+03  6.77e+01  0.1551  
P  K  1.090138e-02  4.11e+01  1.883e-07  
S  K  3.448721e+03  8.44e+01  0.01801  
Cl  K  3.855994e+03  2.14e+02  0.009944  
Ar  K  4.816716e+02  1.89e+02  0.0006998  
K  K  5.970269e+04  2.71e+02  0.043  
Ca  K  1.463840e+04  1.65e+02  0.007427  
Sc  K  4.874816e-01  8.76e+01  1.732e-07  
Ti  K  3.918067e+03  1.11e+02  0.0009581  
V  K  9.431442e+00  9.88e+01  1.797e-06  
Cr  K  7.802592e+03  1.42e+02  0.001096  
Mn  K  2.118446e+03  1.27e+02  0.0002588  
Fe  K  2.001730e+05  4.78e+02  0.02075  
Co  K  1.293475e+03  1.52e+02  0.0001205  
Ni  K  1.240397e+03  1.16e+02  0.0001123  
Cu  K  7.812275e+02  1.13e+02  6.734e-05  
Zn  K  1.162064e+03  1.16e+02  9.838e-05  
As  K  7.068570e+02  1.58e+02  6.524e-05  
Rb  K  2.279823e+01  7.18e+01  4.693e-06  
Sr  K  6.164866e+01  5.18e+01  1.789e-05  
Y  K  1.885708e-01  1.59e+01  9.611e-08  
Zr  K  2.656741e+04  2.01e+05  0.02522  
Rh  L  5.947002e+04  4.59e+02  0.1935  
Pd  L  2.485939e+01  3.94e+02  5.749e-05  
Hg  L  1.033552e+03  1.52e+02  0.0001833  
Pb  L  2.898889e+02  1.87e+02  6.066e-05  

SOURCE: 0-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.565342e+03  6.58e+01  0.1432  
P  K  2.160713e-01  4.08e+01  3.706e-06  
S  K  3.431798e+03  8.39e+01  0.01779  
Cl  K  4.270022e+03  2.15e+02  0.01094  
Ar  K  3.438088e+02  1.87e+02  0.0004967  
K  K  5.950968e+04  2.70e+02  0.04276  
Ca  K  1.461973e+04  1.65e+02  0.00749  
Sc  K  5.486053e-01  8.71e+01  1.974e-07  
Ti  K  3.669455e+03  1.10e+02  0.0009088  
V  K  1.233746e+00  9.98e+01  2.382e-07  
Cr  K  7.685882e+03  1.43e+02  0.001094  
Mn  K  2.067036e+03  1.28e+02  0.0002567  
Fe  K  1.974446e+05  4.76e+02  0.02084  
Co  K  1.073726e+03  1.52e+02  0.000102  
Ni  K  1.097634e+03  1.17e+02  0.000102  
Cu  K  6.153822e+02  1.12e+02  5.445e-05  
Zn  K  1.379009e+03  1.17e+02  0.0001199  
