SOURCE: ISic000086-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  6.710216e+01  3.24e+01  0.1038  
Si  K  1.505328e+02  3.39e+01  0.06008  
P  K  2.578713e+01  4.42e+01  0.003616  
S  K  1.221135e+03  5.10e+01  0.06427  
Cl  K  5.129354e+02  5.50e+01  0.01226  
Ar  K  7.428551e+02  6.41e+01  0.008968  
K  K  2.124267e+03  6.16e+01  0.01208  
Ca  K  1.800848e+05  4.30e+02  0.5312  
Sc  K  2.375405e+02  9.95e+01  0.0004196  
Ti  K  1.876122e+02  3.49e+01  0.0001966  
V  K  3.454352e+01  2.31e+01  2.244e-05  
Cr  K  9.155730e+01  1.99e+01  3.672e-05  
Mn  K  2.569795e+02  2.38e+01  6.827e-05  
Fe  K  9.630741e+03  1.01e+02  0.00169  
Co  K  5.516322e+01  2.43e+01  6.884e-06  
Ni  K  7.026987e+01  2.37e+01  6.897e-06  
Cu  K  3.952173e+02  2.60e+01  7.027e-05  
Zn  K  1.588644e+03  4.56e+01  0.0002493  
Ga  K  3.039436e+01  2.05e+01  6.594e-06  
Rb  K  3.115510e+02  6.39e+01  5.025e-05  
Sr  K  3.726743e+03  9.74e+01  0.000554  
Y  K  4.335245e+02  7.71e+01  6.053e-05  
Zr  K  5.237383e+02  8.67e+01  7.017e-05  
Nb  K  5.237655e+02  8.68e+01  6.88e-05  
Rh  L  9.344158e+01  8.49e+01  0.001356  
Pd  L  5.954178e+02  9.65e+01  0.006783  
Cs  L  8.687669e+01  3.50e+01  0.00013  
Ba  L  1.365820e+02  5.91e+01  0.0001667  
La  L  6.817233e+01  3.57e+01  6.59e-05  
Ce  L  2.816365e+00  3.83e+01  2.168e-06  
Au  L  3.832475e+02  5.32e+01  0.0001209  
Hg  L  2.570137e+02  5.14e+01  7.815e-05  
Pb  L  9.050639e+02  6.75e+01  0.0002354  
Th  L  6.677598e+02  1.04e+02  0.0001219  

SOURCE: ISic000086-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  2.396558e+01  3.18e+01  0.03665  
Si  K  4.890803e+01  3.28e+01  0.01929  
P  K  1.283238e+01  4.39e+01  0.001778  
S  K  4.752294e+02  4.30e+01  0.0247  
Cl  K  7.318454e+02  5.78e+01  0.01727  
Ar  K  7.138968e+02  6.39e+01  0.008508  
K  K  2.613240e+03  6.63e+01  0.01467  
Ca  K  1.905497e+05  4.42e+02  0.5548  
Sc  K  4.518978e+01  9.89e+01  7.88e-05  
Ti  K  1.748439e+02  3.34e+01  0.0001809  
V  K  3.660165e+01  2.20e+01  2.348e-05  
Cr  K  6.867404e+01  1.94e+01  2.721e-05  
Mn  K  3.690986e+02  2.60e+01  9.69e-05  
Fe  K  6.984272e+03  8.68e+01  0.001212  
Co  K  3.030799e+01  2.29e+01  3.742e-06  
Ni  K  5.862475e+01  2.30e+01  6.239e-06  
Cu  K  3.532060e+02  2.54e+01  6.394e-05  
Zn  K  7.434004e+02  3.40e+01  0.0001171  
Ga  K  2.673299e+01  2.09e+01  7.011e-06  
Rb  K  3.158626e+02  6.57e+01  5.035e-05  
Sr  K  5.780988e+03  1.13e+02  0.0008493  
Y  K  4.806792e+02  7.97e+01  6.631e-05  
Zr  K  3.733857e+02  8.97e+01  4.942e-05  
Nb  K  2.369288e+02  8.75e+01  3.074e-05  
Rh  L  5.185438e+01  8.54e+01  0.0007429  
Pd  L  6.443183e+02  9.63e+01  0.007248  
Cs  L  1.055232e+01  3.35e+01  1.559e-05  
Ba  L  5.768773e+01  5.88e+01  6.957e-05  
La  L  2.725790e+01  3.43e+01  2.603e-05  
Ce  L  3.376670e+01  4.12e+01  2.568e-05  
Au  L  3.419274e+02  5.17e+01  0.0001086  
Hg  L  2.804347e+02  5.39e+01  8.436e-05  
Pb  L  5.993560e+02  6.44e+01  0.0001554  
Th  L  6.446925e+02  1.07e+02  0.0001163  

SOURCE: ISic000086-t-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  1.086067e+02  3.24e+01  0.1619  
Si  K  1.300408e+02  3.30e+01  0.04996  
P  K  7.394648e+01  4.28e+01  0.009967  
S  K  9.372099e+02  4.82e+01  0.04737  
Cl  K  7.170554e+02  5.78e+01  0.01645  
Ar  K  6.493375e+02  6.41e+01  0.00752  
K  K  2.418337e+03  6.48e+01  0.01319  
Ca  K  1.874560e+05  4.47e+02  0.5303  
Sc  K  2.006170e+02  1.01e+02  0.0003399  
Ti  K  1.541759e+02  3.40e+01  0.000155  
V  K  3.045792e+01  2.09e+01  1.899e-05  
Cr  K  5.336757e+01  1.91e+01  2.055e-05  
Mn  K  2.767074e+02  2.38e+01  7.065e-05  
Fe  K  8.479921e+03  9.49e+01  0.001432  
Co  K  1.374684e+01  2.32e+01  1.653e-06  
Ni  K  4.035479e+01  2.48e+01  4.978e-06  
Cu  K  3.021852e+02  2.33e+01  5.517e-05  
Zn  K  2.654077e+02  2.34e+01  4.159e-05  
Ga  K  1.006644e+01  1.89e+01  3.342e-06  
Rb  K  5.093390e+02  6.69e+01  7.963e-05  
Sr  K  3.455534e+03  9.64e+01  0.0004977  
Y  K  6.001432e+02  7.95e+01  8.113e-05  
Zr  K  7.515436e+02  8.88e+01  9.747e-05  
Nb  K  3.615356e+02  8.76e+01  4.596e-05  
Rh  L  4.059322e+01  8.71e+01  0.0005671  
Pd  L  7.335099e+02  9.92e+01  0.008043  
Cs  L  1.830187e+00  3.60e+01  2.631e-06  
Ba  L  7.174400e+01  5.82e+01  8.416e-05  
La  L  7.519554e+01  3.39e+01  6.985e-05  
Ce  L  9.252141e+01  4.05e+01  6.846e-05  
Au  L  1.813749e+02  5.01e+01  5.754e-05  
Hg  L  2.518120e+02  5.42e+01  7.439e-05  
Pb  L  6.925552e+02  6.66e+01  0.0001778  
Th  L  6.120972e+02  1.05e+02  0.0001082  

SOURCE: ISic000086-t-d.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  9.758039e+01  3.35e+01  0.1498  
Si  K  3.767317e+01  3.23e+01  0.01492  
P  K  6.859783e+01  4.61e+01  0.009543  
S  K  3.770054e+02  4.18e+01  0.01968  
Cl  K  6.948458e+02  5.86e+01  0.01646  
Ar  K  6.990010e+02  6.58e+01  0.008366  
K  K  2.333943e+03  6.42e+01  0.01316  
Ca  K  2.091694e+05  4.62e+02  0.6116  
Sc  K  2.358742e+02  1.05e+02  0.0004131  
Ti  K  1.361613e+02  3.25e+01  0.0001415  
V  K  6.814297e-01  2.02e+01  4.39e-07  
