SOURCE: ISic000896-M-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  3.564575e+04  2.06e+02  0.05693  
P  K  1.615618e+02  9.90e+01  0.0001727  
S  K  3.790689e+04  2.17e+02  0.02697  
Cl  K  9.766088e+03  2.12e+02  0.005737  
Ar  K  2.466724e+03  1.82e+02  0.001181  
K  K  7.082510e+02  1.07e+02  0.0002125  
Ca  K  1.295227e+06  1.15e+03  0.3924  
Sc  K  2.547098e+03  2.68e+02  0.001505  
Ti  K  4.451220e+02  8.09e+01  0.0001976  
V  K  3.481279e+02  7.41e+01  0.0001285  
Cr  K  1.696010e+01  7.92e+01  4.799e-06  
Mn  K  1.576807e+03  9.57e+01  0.0003842  
Fe  K  9.328735e+03  1.38e+02  0.001931  
Co  K  2.500432e+03  1.09e+02  0.0004666  
Ni  K  1.553333e+03  1.59e+02  0.0002519  
Cu  K  6.695187e+02  9.38e+01  0.0001045  
Zn  K  4.862942e+02  9.13e+01  7.525e-05  
As  K  1.036338e+03  9.27e+01  0.000178  
Rb  K  1.709715e+02  5.71e+01  6.627e-05  
Sr  K  1.296231e+01  4.89e+01  7.092e-06  
Y  K  4.332630e+01  1.62e+01  4.168e-05  
Zr  K  4.792182e+05  2.10e+05  0.859  
Rh  L  3.594514e+04  3.84e+02  0.0312  
Pd  L  1.084777e+03  3.45e+02  0.0007708  

SOURCE: ISic000896-M-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.148406e+04  1.64e+02  0.03449  
P  K  1.530696e+00  1.06e+02  1.532e-06  
S  K  5.610618e+04  2.58e+02  0.03737  
Cl  K  5.849705e+03  2.04e+02  0.003226  
Ar  K  1.555657e+03  1.88e+02  0.0007033  
K  K  1.170653e+03  1.15e+02  0.0003337  
Ca  K  1.458008e+06  1.22e+03  0.444  
Sc  K  3.593134e+03  2.84e+02  0.002269  
Ti  K  5.678884e+02  8.25e+01  0.0002696  
V  K  1.591520e+02  7.34e+01  6.287e-05  
Cr  K  1.143387e+02  7.95e+01  3.464e-05  
Mn  K  2.922652e+03  1.05e+02  0.000763  
Fe  K  1.091713e+04  1.47e+02  0.002423  
Co  K  8.799259e+02  1.01e+02  0.0001761  
Ni  K  3.236256e+03  1.71e+02  0.0005634  
Cu  K  3.473781e+02  9.11e+01  5.823e-05  
Zn  K  7.756121e+02  9.23e+01  0.0001289  
As  K  8.974427e+02  9.07e+01  0.0001658  
Rb  K  3.695949e+02  5.83e+01  0.0001541  
Sr  K  9.983563e+00  4.62e+01  5.877e-06  
Y  K  6.443783e+01  1.80e+01  6.67e-05  
Zr  K  4.408690e+05  1.99e+05  0.8504  
Rh  L  3.522337e+04  3.84e+02  0.02881  
Pd  L  1.573710e+03  3.57e+02  0.001056  

SOURCE: ISic000896-M-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.339487e+04  1.35e+02  0.02131  
P  K  4.008622e+02  1.03e+02  0.0003847  
S  K  6.738428e+04  2.80e+02  0.04311  
Cl  K  6.863673e+03  2.10e+02  0.003641  
Ar  K  1.694024e+03  1.89e+02  0.0007385  
K  K  1.211211e+03  1.13e+02  0.0003338  
Ca  K  1.372421e+06  1.19e+03  0.4142  
Sc  K  3.347408e+03  2.80e+02  0.002148  
Ti  K  4.057691e+02  8.12e+01  0.0001958  
V  K  5.534429e+01  7.30e+01  2.223e-05  
Cr  K  8.153222e+02  8.59e+01  0.0002512  
Mn  K  8.780010e+02  9.51e+01  0.0002331  
Fe  K  1.049336e+04  1.46e+02  0.002369  
Co  K  6.292836e+02  1.01e+02  0.0001282  
Ni  K  8.872435e+02  1.54e+02  0.0001573  
Cu  K  7.697661e+02  9.51e+01  0.0001314  
Zn  K  1.279823e+03  9.67e+01  0.0002166  
As  K  9.294286e+02  9.28e+01  0.0001749  
Rb  K  2.048724e+02  5.80e+01  8.704e-05  
Sr  K  3.158858e+01  5.09e+01  1.895e-05  
Y  K  4.712231e+01  1.83e+01  4.97e-05  
