SOURCE: ISic002713-M-9.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  4.932728e+03  9.05e+01  0.2717  
P  K  7.703555e+02  1.03e+02  0.01063  
S  K  4.423656e+03  1.08e+02  0.01875  
Cl  K  2.516361e+03  1.87e+02  0.005333  
Ar  K  3.469025e+03  1.98e+02  0.004252  
K  K  3.314557e+03  1.22e+02  0.002004  
Ca  K  1.109394e+06  1.07e+03  0.4892  
Sc  K  1.937385e+01  2.32e+02  1.162e-05  
Ti  K  7.969934e+02  5.84e+01  0.0003327  
V  K  7.081057e+01  4.32e+01  2.325e-05  
Cr  K  5.811037e+02  4.99e+01  0.0001405  
Mn  K  5.653721e+02  5.54e+01  0.0001141  
Fe  K  5.507273e+03  9.84e+01  0.0009223  
Co  K  7.867313e+02  6.87e+01  0.0001166  
Ni  K  6.375185e+02  9.95e+01  8.08e-05  
Cu  K  6.132868e+01  5.39e+01  7.401e-06  
Zn  K  9.172741e+02  6.36e+01  0.0001088  
As  K  3.040673e+02  6.05e+01  3.936e-05  
Rb  K  1.433245e+02  4.00e+01  4.138e-05  
Sr  K  2.211364e+01  3.39e+01  8.996e-06  
Y  K  1.756243e-01  1.12e+01  1.254e-07  
Zr  K  1.859944e+05  1.43e+05  0.2473  
Rh  L  4.081126e+04  4.10e+02  0.1103  
Pd  L  9.164442e+00  3.74e+02  1.76e-05  

SOURCE: ISic002713-M-10.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  6.175699e+03  9.91e+01  0.34  
P  K  2.310945e+03  1.12e+02  0.03306  
S  K  1.320248e+04  1.52e+02  0.05919  
Cl  K  2.753426e+03  1.77e+02  0.006159  
Ar  K  4.518151e+03  1.98e+02  0.005813  
K  K  3.411908e+03  1.22e+02  0.002152  
Ca  K  1.087216e+06  1.06e+03  0.4795  
Sc  K  1.558353e+01  2.21e+02  8.655e-06  
Ti  K  1.046069e+03  5.82e+01  0.0004037  
V  K  4.526161e+01  4.41e+01  1.372e-05  
Cr  K  2.926156e+02  4.76e+01  6.525e-05  
Mn  K  1.193369e+03  6.26e+01  0.000222  
Fe  K  1.161224e+04  1.29e+02  0.001792  
Co  K  7.106052e+02  7.00e+01  9.7e-05  
Ni  K  5.906927e+02  9.70e+01  6.896e-05  
Cu  K  1.262009e+02  5.45e+01  1.402e-05  
Zn  K  5.683137e+02  6.08e+01  6.202e-05  
As  K  3.858401e+02  6.05e+01  4.589e-05  
Rb  K  8.823754e+01  3.95e+01  2.338e-05  
Sr  K  4.127107e+01  3.20e+01  1.541e-05  
Y  K  1.923993e-01  1.05e+01  1.261e-07  
Zr  K  3.122394e+05  1.41e+05  0.3808  
Rh  L  3.141272e+04  3.64e+02  0.08932  
Pd  L  7.065031e+01  3.53e+02  0.0001425  

SOURCE: ISic002713-M-11.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  5.169269e+03  9.24e+01  0.2847  
P  K  1.291894e+03  1.08e+02  0.01793  
S  K  6.743782e+03  1.21e+02  0.02896  
Cl  K  1.759174e+03  1.69e+02  0.003775  
Ar  K  4.711574e+03  2.04e+02  0.005842  
K  K  3.346120e+03  1.22e+02  0.002044  
Ca  K  1.116594e+06  1.07e+03  0.4927  
Sc  K  1.228689e+01  2.30e+02  7.255e-06  
Ti  K  9.165352e+02  5.85e+01  0.0003764  
V  K  5.537998e+01  4.28e+01  1.789e-05  
Cr  K  6.196842e+02  5.11e+01  0.0001473  
Mn  K  2.928135e+03  7.68e+01  0.0005811  
Fe  K  6.650504e+03  1.04e+02  0.001095  
Co  K  7.619616e+02  6.60e+01  0.0001111  
Ni  K  5.645447e+02  1.00e+02  7.035e-05  
Cu  K  7.837808e+01  5.35e+01  9.298e-06  
Zn  K  6.366709e+02  6.11e+01  7.423e-05  
As  K  2.971362e+02  5.86e+01  3.78e-05  
Rb  K  1.319732e+02  4.08e+01  3.743e-05  
Sr  K  9.492303e+00  3.19e+01  3.794e-06  
Y  K  4.756954e-02  1.17e+01  3.338e-08  
