SOURCE: MK-ISic000065-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  6.252948e-01  5.33e+01  3.39e-05  
P  K  1.178708e-01  9.98e+01  1.068e-06  
S  K  1.420856e+04  1.56e+02  0.03911  
Cl  K  1.938234e+03  2.35e+02  0.002715  
Ar  K  1.021128e+03  2.36e+02  0.0008583  
K  K  5.985750e+02  1.18e+02  0.0002575  
Ca  K  1.128382e+06  1.08e+03  0.4891  
Sc  K  3.153647e+02  2.84e+02  0.0002787  
Ti  K  1.014247e+03  9.25e+01  0.0006275  
V  K  3.746196e-02  7.63e+01  1.833e-08  
Cr  K  7.692844e+03  1.26e+02  0.002784  
Mn  K  2.938345e+02  9.42e+01  8.91e-05  
Fe  K  4.988937e+03  1.21e+02  0.00126  
Co  K  1.124351e+03  9.83e+01  0.0002522  
Ni  K  7.420119e+02  1.39e+02  0.0001428  
Cu  K  3.913507e+02  8.82e+01  7.19e-05  
Zn  K  9.117215e+02  9.10e+01  0.000165  
As  K  2.649870e+02  8.09e+01  5.263e-05  
Rb  K  7.178868e+01  5.20e+01  3.195e-05  
Sr  K  5.831061e+01  3.97e+01  3.66e-05  
Y  K  5.354653e-01  1.23e+01  5.905e-07  
Zr  K  5.603714e+04  1.66e+05  0.1151  
Rh  L  6.066146e+04  5.03e+02  0.1109  
Pd  L  1.164461e+01  4.78e+02  1.531e-05  

SOURCE: MK-ISic000065-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  8.992619e-02  5.27e+01  4.878e-06  
P  K  2.204768e-01  1.00e+02  1.999e-06  
S  K  1.266822e+04  1.50e+02  0.03489  
Cl  K  2.086237e+03  2.39e+02  0.002925  
Ar  K  1.118130e+03  2.38e+02  0.0009412  
K  K  1.913019e+03  1.24e+02  0.0008248  
Ca  K  1.111129e+06  1.07e+03  0.4822  
Sc  K  5.006577e+00  2.83e+02  4.413e-06  
Ti  K  1.687023e+03  9.73e+01  0.001041  
V  K  1.467570e+01  7.85e+01  7.166e-06  
Cr  K  7.135309e+03  1.23e+02  0.002578  
Mn  K  6.246302e+02  9.65e+01  0.0001892  
Fe  K  7.331624e+03  1.33e+02  0.001849  
Co  K  6.681175e+02  9.76e+01  0.0001497  
Ni  K  7.621994e+02  1.38e+02  0.0001467  
Cu  K  4.944854e+02  8.86e+01  9.087e-05  
Zn  K  1.013645e+03  9.06e+01  0.0001835  
As  K  3.834725e+02  8.08e+01  7.619e-05  
Rb  K  1.355341e+02  5.17e+01  6.035e-05  
Sr  K  7.731521e+01  3.77e+01  4.855e-05  
Y  K  4.394662e-02  1.24e+01  4.848e-08  
Zr  K  3.015200e+04  1.50e+05  0.06194  
Rh  L  6.131525e+04  5.06e+02  0.1122  
Pd  L  2.054799e+01  4.76e+02  2.705e-05  

SOURCE: MK-ISic000065-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  7.497636e-01  4.98e+01  4.057e-05  
P  K  1.541637e-01  1.01e+02  1.401e-06  
S  K  3.527025e+03  1.07e+02  0.009985  
Cl  K  2.011820e+03  2.28e+02  0.002899  
Ar  K  2.700111e+02  2.27e+02  0.0002332  
K  K  9.275814e+02  1.17e+02  0.0004093  
Ca  K  1.182928e+06  1.11e+03  0.5149  
Sc  K  3.558905e+02  2.82e+02  0.0003097  
Ti  K  1.258882e+03  9.16e+01  0.0007669  
V  K  2.026947e+02  7.52e+01  9.766e-05  
Cr  K  7.464067e+03  1.21e+02  0.002659  
Mn  K  3.574901e+02  8.92e+01  0.0001066  
Fe  K  1.326385e+03  9.47e+01  0.0003294  
Co  K  1.103850e+03  9.27e+01  0.0002433  
Ni  K  1.044303e+03  1.41e+02  0.0001972  
Cu  K  2.283598e+02  8.19e+01  4.116e-05  
Zn  K  4.214748e+02  8.24e+01  7.483e-05  
As  K  8.735461e+02  8.27e+01  0.0001702  
Rb  K  1.321597e+02  5.03e+01  5.767e-05  
Sr  K  6.858491e+01  3.76e+01  4.221e-05  
