SOURCE: 0-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.721741e+03  6.72e+01  0.1516  
P  K  3.294517e-01  4.04e+01  5.677e-06  
S  K  3.390761e+03  8.37e+01  0.01766  
Cl  K  3.647828e+03  2.14e+02  0.009384  
Ar  K  4.087850e+02  1.90e+02  0.0005928  
K  K  6.020721e+04  2.72e+02  0.04334  
Ca  K  1.498923e+04  1.66e+02  0.007638  
Sc  K  5.214503e-01  8.81e+01  1.864e-07  
Ti  K  3.459906e+03  1.09e+02  0.0008511  
V  K  8.960863e+01  9.98e+01  1.718e-05  
Cr  K  7.977826e+03  1.44e+02  0.001127  
Mn  K  1.998469e+03  1.27e+02  0.0002457  
Fe  K  1.979440e+05  4.76e+02  0.02064  
Co  K  1.184649e+03  1.52e+02  0.0001111  
Ni  K  1.145500e+03  1.16e+02  0.0001045  
Cu  K  6.324992e+02  1.12e+02  5.492e-05  
Zn  K  1.413154e+03  1.18e+02  0.0001205  
As  K  7.704862e+02  1.11e+02  7.165e-05  
Rb  K  7.458019e+01  7.25e+01  1.547e-05  
Sr  K  1.240771e+02  5.25e+01  3.628e-05  
Y  K  9.431965e-01  1.58e+01  4.845e-07  
Zr  K  8.152330e+04  2.00e+05  0.07799  
Rh  L  6.000691e+04  4.61e+02  0.1948  
Pd  L  4.909303e-01  3.98e+02  1.133e-06  

SOURCE: 0-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.782275e+03  6.76e+01  0.155  
P  K  5.274054e-02  4.11e+01  9.114e-07  
S  K  3.446976e+03  8.44e+01  0.018  
Cl  K  4.021013e+03  2.15e+02  0.01037  
Ar  K  9.582512e-01  1.89e+02  1.392e-06  
K  K  5.967575e+04  2.71e+02  0.04298  
Ca  K  1.462007e+04  1.65e+02  0.007414  
Sc  K  5.487048e-01  8.76e+01  1.949e-07  
Ti  K  3.916346e+03  1.11e+02  0.0009573  
V  K  9.259646e+00  9.88e+01  1.764e-06  
Cr  K  7.796104e+03  1.42e+02  0.001094  
Mn  K  2.117290e+03  1.27e+02  0.0002586  
Fe  K  2.001589e+05  4.79e+02  0.02074  
Co  K  1.272288e+03  1.52e+02  0.0001185  
Ni  K  1.240158e+03  1.16e+02  0.0001123  
Cu  K  7.780138e+02  1.13e+02  6.705e-05  
Zn  K  1.172757e+03  1.16e+02  9.927e-05  
As  K  9.256573e+02  1.11e+02  8.541e-05  
Rb  K  1.196092e+01  7.09e+01  2.462e-06  
Sr  K  7.010121e+01  5.18e+01  2.034e-05  
Y  K  5.368546e-01  1.49e+01  2.736e-07  
Zr  K  9.434112e+03  1.99e+05  0.008954  
Rh  L  5.893834e+04  4.59e+02  0.1918  
Pd  L  2.152872e+00  3.93e+02  4.978e-06  

SOURCE: 0-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.565780e+03  6.65e+01  0.1433  
P  K  6.720004e-02  4.08e+01  1.153e-06  
S  K  3.434136e+03  8.39e+01  0.01781  
Cl  K  4.276331e+03  2.15e+02  0.01095  
Ar  K  1.437247e+02  1.87e+02  0.0002076  
K  K  5.949563e+04  2.70e+02  0.04274  
Ca  K  1.461721e+04  1.65e+02  0.007486  
Sc  K  4.218463e-01  8.71e+01  1.517e-07  
Ti  K  3.667452e+03  1.10e+02  0.0009081  
V  K  1.118735e+00  9.98e+01  2.16e-07  
Cr  K  7.686969e+03  1.43e+02  0.001094  
Mn  K  2.069524e+03  1.28e+02  0.000257  
Fe  K  1.974344e+05  4.76e+02  0.02083  
Co  K  1.079335e+03  1.52e+02  0.0001025  
Ni  K  1.097894e+03  1.17e+02  0.000102  
Cu  K  6.171373e+02  1.12e+02  5.459e-05  
Zn  K  1.396688e+03  1.17e+02  0.0001214  
As  K  7.094976e+02  1.11e+02  6.727e-05  
Rb  K  2.561055e+01  7.18e+01  5.42e-06  
Sr  K  6.880665e+01  5.22e+01  2.053e-05  
Y  K  5.918473e-01  1.69e+01  3.102e-07  
