SOURCE: ISic000655-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.986842e+01  3.39e+01  0.001039  
P  K  6.232637e+01  4.84e+01  0.0005544  
S  K  4.592361e+01  4.04e+01  0.0001252  
Cl  K  4.510991e+01  5.08e+01  6.257e-05  
Ar  K  5.243880e+02  6.81e+01  0.0004361  
K  K  7.108315e+02  5.43e+01  0.0003024  
Ca  K  2.523015e+05  5.11e+02  0.1061  
Sc  K  7.481545e+01  1.06e+02  6.275e-05  
Ti  K  7.242010e+01  2.45e+01  4.251e-05  
V  K  4.949115e+01  1.75e+01  2.297e-05  
Cr  K  1.037379e+02  1.82e+01  3.558e-05  
Mn  K  2.892841e+01  1.61e+01  8.315e-06  
Fe  K  1.384888e+03  4.15e+01  0.0003315  
Co  K  6.516988e+00  1.65e+01  1.385e-06  
Ni  K  2.592885e+01  2.21e+01  4.732e-06  
Cu  K  2.995855e+02  2.43e+01  5.219e-05  
Zn  K  9.555932e+01  2.05e+01  1.64e-05  
As  K  2.103380e+02  3.52e+01  3.96e-05  
Rb  K  7.328829e+01  6.40e+01  3.092e-05  
Sr  K  9.655717e+03  1.84e+02  0.005744  
Y  K  1.932312e+02  8.47e+01  0.000202  
Zr  K  6.292664e+04  6.39e+05  0.1225  
Rh  L  8.774831e+01  8.53e+01  0.0001587  
Pd  L  7.156593e+02  1.03e+02  0.0009308  

SOURCE: ISic000655-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  4.598933e+01  3.39e+01  0.002408  
P  K  3.918139e+01  5.01e+01  0.0003555  
S  K  4.310335e+01  4.04e+01  0.0001194  
Cl  K  1.180700e+02  5.33e+01  0.0001663  
Ar  K  6.204917e+02  7.01e+01  0.0005232  
K  K  6.577776e+02  5.42e+01  0.0002834  
Ca  K  2.607342e+05  5.17e+02  0.1098  
Sc  K  2.057185e+01  1.06e+02  1.712e-05  
Ti  K  6.116154e+01  2.34e+01  3.561e-05  
V  K  2.415360e+01  1.68e+01  1.112e-05  
Cr  K  6.136876e+01  1.71e+01  2.087e-05  
Mn  K  3.550392e+01  1.60e+01  1.011e-05  
Fe  K  6.800654e+02  3.13e+01  0.0001613  
Co  K  1.574896e+01  1.66e+01  3.316e-06  
Ni  K  1.020114e+01  2.35e+01  1.841e-06  
Cu  K  2.837215e+02  2.35e+01  4.887e-05  
Zn  K  1.671005e+02  2.20e+01  2.835e-05  
As  K  5.044853e+01  3.22e+01  9.389e-06  
Rb  K  2.440460e+02  6.45e+01  0.0001017  
Sr  K  8.889710e+03  2.52e+02  0.005226  
Y  K  8.535621e+01  8.73e+01  8.816e-05  
Zr  K  4.678146e+05  8.83e+05  0.8997  
Rh  L  3.346557e+01  8.84e+01  6.141e-05  
Pd  L  5.728298e+02  1.05e+02  0.0007555  

SOURCE: ISic000655-t-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.180082e+02  3.55e+01  0.006223  
P  K  2.295779e+01  4.93e+01  0.00022  
S  K  1.541175e+02  4.25e+01  0.0004499  
Cl  K  1.066504e+02  5.27e+01  0.0001581  
Ar  K  5.173279e+02  6.78e+01  0.0004575  
K  K  8.647033e+02  5.67e+01  0.0003894  
Ca  K  2.586991e+05  5.14e+02  0.1096  
Sc  K  9.671615e+01  1.10e+02  7.779e-05  
Ti  K  2.193533e+02  2.78e+01  0.0001234  
V  K  8.419339e+01  1.98e+01  3.745e-05  
Cr  K  1.443371e+01  1.60e+01  4.744e-06  
Mn  K  6.816223e+01  1.70e+01  1.877e-05  
Fe  K  2.096816e+03  4.99e+01  0.0004809  
Co  K  1.536299e+01  1.89e+01  3.129e-06  
Ni  K  4.790345e+01  2.56e+01  8.381e-06  
Cu  K  3.044318e+02  2.42e+01  5.084e-05  
Zn  K  2.175514e+02  2.37e+01  3.578e-05  
As  K  2.166829e+02  3.47e+01  3.908e-05  
Rb  K  3.033436e+02  6.68e+01  0.0001225  
Sr  K  9.801677e+03  2.47e+02  0.005584  
