SOURCE: MK-ISic000711-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.011557e+01  5.47e+01  0.0011  
P  K  1.069990e+03  1.03e+02  0.00987  
S  K  8.510100e+03  1.36e+02  0.02447  
Cl  K  1.698682e+03  2.29e+02  0.002486  
Ar  K  1.069043e+03  2.34e+02  0.0009375  
K  K  1.686416e+03  1.26e+02  0.0007556  
Ca  K  1.306458e+06  1.21e+03  0.5745  
Sc  K  2.568663e+02  3.04e+02  0.0002245  
Ti  K  1.147994e+03  9.71e+01  0.0007022  
V  K  7.041761e+01  8.17e+01  3.406e-05  
Cr  K  6.318964e+03  1.21e+02  0.00226  
Mn  K  4.891856e+02  9.57e+01  0.0001466  
Fe  K  6.741338e+03  1.31e+02  0.001682  
Co  K  1.002584e+03  1.01e+02  0.0002222  
Ni  K  2.322254e+03  1.62e+02  0.0004416  
Cu  K  2.873654e+02  8.89e+01  5.217e-05  
Zn  K  9.597943e+02  9.36e+01  0.0001716  
As  K  6.003078e+02  8.75e+01  0.0001178  
Rb  K  2.017385e+02  5.53e+01  8.868e-05  
Sr  K  1.029995e+02  4.18e+01  6.385e-05  
Y  K  5.316060e+01  1.43e+01  5.789e-05  
Zr  K  1.542081e+05  1.58e+05  0.3127  
Rh  L  5.926552e+04  4.97e+02  0.1131  
Pd  L  9.378756e+02  4.71e+02  0.001286  

SOURCE: MK-ISic000711-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  7.586796e+01  5.50e+01  0.004151  
P  K  7.306697e-01  1.04e+02  6.767e-06  
S  K  7.601227e+03  1.32e+02  0.02139  
Cl  K  1.393672e+03  2.23e+02  0.001995  
Ar  K  3.109787e+03  2.40e+02  0.002669  
K  K  1.161716e+03  1.25e+02  0.0005099  
Ca  K  1.302289e+06  1.19e+03  0.5696  
Sc  K  3.464948e+01  2.93e+02  3.057e-05  
Ti  K  1.464134e+03  9.54e+01  0.0009042  
V  K  2.098349e+02  7.81e+01  0.0001025  
Cr  K  7.304196e+03  1.24e+02  0.002639  
Mn  K  6.867303e+02  9.81e+01  0.0002079  
Fe  K  8.064060e+03  1.37e+02  0.002034  
Co  K  2.092649e+03  1.09e+02  0.0004687  
Ni  K  1.029422e+03  1.46e+02  0.000198  
Cu  K  6.818358e+02  9.00e+01  0.0001252  
Zn  K  1.318068e+03  9.47e+01  0.0002384  
As  K  5.348712e+02  8.75e+01  0.0001062  
Rb  K  1.447606e+02  5.45e+01  6.44e-05  
Sr  K  4.077576e+01  4.31e+01  2.558e-05  
Y  K  1.770765e-01  1.50e+01  1.952e-07  
Zr  K  2.390673e+04  1.65e+05  0.04907  
Rh  L  5.771874e+04  4.87e+02  0.1077  
Pd  L  6.004298e+02  4.70e+02  0.0008057  

SOURCE: MK-ISic000711-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.361151e+01  5.57e+01  0.0007445  
P  K  1.107538e+03  1.02e+02  0.01013  
S  K  7.675641e+03  1.31e+02  0.02133  
Cl  K  1.669201e+03  2.13e+02  0.002361  
Ar  K  1.786409e+03  2.33e+02  0.001516  
K  K  1.084825e+03  1.23e+02  0.0004713  
Ca  K  1.294706e+06  1.22e+03  0.5657  
Sc  K  8.457654e+00  2.90e+02  7.519e-06  
Ti  K  1.215464e+03  9.46e+01  0.0007565  
V  K  3.514443e+02  8.04e+01  0.000173  
Cr  K  7.054690e+03  1.23e+02  0.002568  
Mn  K  6.382043e+02  9.70e+01  0.0001948  
Fe  K  8.874574e+03  1.38e+02  0.002256  
Co  K  6.220342e+02  9.86e+01  0.0001405  
Ni  K  1.287777e+03  1.48e+02  0.0002499  
Cu  K  2.474528e+02  8.70e+01  4.584e-05  
Zn  K  1.450192e+03  9.49e+01  0.0002646  
As  K  2.654498e+02  8.40e+01  5.316e-05  
Rb  K  2.420376e+02  5.47e+01  0.0001086  
Sr  K  3.269096e+01  4.00e+01  2.069e-05  
Y  K  5.054172e+01  1.56e+01  5.621e-05  
