SOURCE: ISic000003-MK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  7.122805e+01  5.05e+01  0.003816  
P  K  1.544251e-01  9.20e+01  1.407e-06  
S  K  5.279838e+03  1.15e+02  0.01461  
Cl  K  1.914424e+03  2.49e+02  0.002694  
Ar  K  2.596866e+03  2.40e+02  0.00219  
K  K  3.879389e+02  1.12e+02  0.0001672  
Ca  K  9.029862e+05  9.79e+02  0.3862  
Sc  K  5.487543e+02  2.55e+02  0.0004722  
Ti  K  1.171704e+03  9.28e+01  0.0007058  
V  K  3.093016e-01  7.46e+01  1.474e-07  
Cr  K  6.874804e+03  1.21e+02  0.002423  
Mn  K  8.618958e+02  9.34e+01  0.0002546  
Fe  K  5.832124e+03  1.23e+02  0.001435  
Co  K  3.719481e+02  9.06e+01  8.128e-05  
Ni  K  6.479191e+02  1.31e+02  0.0001216  
Cu  K  3.489571e+02  8.43e+01  6.253e-05  
Zn  K  8.970777e+02  8.82e+01  0.0001583  
As  K  3.081542e+02  7.79e+01  5.969e-05  
Rb  K  8.584451e+01  4.85e+01  3.726e-05  
Sr  K  3.214548e+01  3.58e+01  1.968e-05  
Y  K  4.038405e-02  1.10e+01  4.343e-08  
Zr  K  2.292075e+02  1.51e+05  0.000459  
Rh  L  6.393410e+04  5.22e+02  0.1173  
Pd  L  1.844284e+02  4.83e+02  0.0002432  

SOURCE: ISic000003-MK-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  4.284235e+01  5.54e+01  0.002323  
P  K  3.967561e+00  9.89e+01  3.653e-05  
S  K  1.248648e+04  1.50e+02  0.03593  
Cl  K  2.263483e+03  2.40e+02  0.003314  
Ar  K  7.272718e+02  2.40e+02  0.0006375  
K  K  9.200200e+02  1.21e+02  0.0004117  
Ca  K  1.103109e+06  1.10e+03  0.4794  
Sc  K  4.933810e+02  2.87e+02  0.000422  
Ti  K  4.310092e+03  1.15e+02  0.002582  
V  K  5.767452e+01  8.40e+01  2.733e-05  
Cr  K  6.474247e+03  1.21e+02  0.002274  
Mn  K  7.044470e+01  9.18e+01  2.074e-05  
Fe  K  7.998311e+03  1.33e+02  0.001962  
Co  K  1.131431e+03  9.88e+01  0.0002465  
Ni  K  8.567375e+02  1.36e+02  0.0001603  
Cu  K  2.191212e+02  8.68e+01  3.915e-05  
Zn  K  6.186770e+02  8.83e+01  0.0001089  
As  K  2.590796e+02  7.96e+01  5.003e-05  
Rb  K  6.165410e+01  5.07e+01  2.667e-05  
Sr  K  5.499450e+01  3.78e+01  3.355e-05  
Y  K  4.200072e-02  1.17e+01  4.502e-08  
Zr  K  9.898877e+04  1.55e+05  0.1976  
Rh  L  6.139574e+04  5.16e+02  0.1171  
Pd  L  4.577608e+01  4.88e+02  6.274e-05  

SOURCE: ISic000003-MK-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  7.496599e+01  5.34e+01  0.004055  
P  K  7.813095e+02  9.81e+01  0.007169  
S  K  5.791054e+03  1.20e+02  0.01614  
Cl  K  1.967434e+03  2.45e+02  0.002789  
Ar  K  2.014705e+03  2.42e+02  0.001712  
K  K  1.015664e+03  1.19e+02  0.0004415  
Ca  K  1.070824e+06  1.05e+03  0.463  
Sc  K  4.534792e+02  2.76e+02  0.0003947  
Ti  K  1.688452e+03  9.73e+01  0.001029  
V  K  1.700864e+02  8.18e+01  8.199e-05  
Cr  K  6.644609e+03  1.22e+02  0.002369  
Mn  K  2.758575e+02  9.29e+01  8.245e-05  
Fe  K  6.976475e+03  1.29e+02  0.001737  
Co  K  3.555215e+02  9.29e+01  7.861e-05  
Ni  K  3.609631e+02  1.31e+02  6.855e-05  
Cu  K  1.508003e+03  9.49e+01  0.0002734  
Zn  K  7.571608e+02  8.84e+01  0.0001352  
As  K  5.821607e+02  8.07e+01  0.0001141  
Rb  K  2.128423e+02  5.13e+01  9.347e-05  
Sr  K  7.809079e+01  3.86e+01  4.836e-05  
Y  K  3.173138e+01  1.39e+01  3.452e-05  
