SOURCE: ISic000086-MK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.529757e+01  5.10e+01  0.000841  
P  K  7.757261e+02  8.61e+01  0.007201  
S  K  1.256656e+04  1.46e+02  0.03655  
Cl  K  7.100783e+03  2.43e+02  0.01053  
Ar  K  1.766688e+03  2.32e+02  0.001573  
K  K  1.075520e+04  1.60e+02  0.004919  
Ca  K  8.370921e+05  9.35e+02  0.3672  
Sc  K  7.375205e+02  2.42e+02  0.0006105  
Ti  K  2.329391e+03  1.00e+02  0.00135  
V  K  6.844501e+01  8.07e+01  3.139e-05  
Cr  K  7.335431e+03  1.25e+02  0.002492  
Mn  K  8.757121e+02  1.01e+02  0.000252  
Fe  K  5.940605e+04  2.77e+02  0.01432  
Co  K  7.922505e+02  1.14e+02  0.0001704  
Ni  K  6.287565e+02  1.33e+02  0.0001197  
Cu  K  4.961720e+02  8.94e+01  9.021e-05  
Zn  K  1.814883e+03  9.75e+01  0.0003252  
As  K  2.914899e+02  8.32e+01  5.74e-05  
Rb  K  1.225792e+02  5.21e+01  5.417e-05  
Sr  K  7.080748e+01  4.14e+01  4.414e-05  
Y  K  3.881698e+01  1.30e+01  4.253e-05  
Zr  K  1.313849e+05  1.64e+05  0.2681  
Rh  L  6.478245e+04  5.08e+02  0.1254  
Pd  L  4.001903e+03  4.69e+02  0.005578  

SOURCE: ISic000086-MK-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.524334e+02  5.37e+01  0.01375  
P  K  4.855826e+00  8.79e+01  4.647e-05  
S  K  8.946258e+03  1.34e+02  0.02605  
Cl  K  8.390775e+03  2.41e+02  0.01245  
Ar  K  4.676092e+02  2.50e+02  0.0004165  
K  K  1.339981e+04  1.73e+02  0.006132  
Ca  K  9.434680e+05  9.92e+02  0.4178  
Sc  K  5.851777e+02  2.56e+02  0.000492  
Ti  K  2.181959e+03  1.01e+02  0.001284  
V  K  4.874173e-01  8.20e+01  2.268e-07  
Cr  K  6.677065e+03  1.24e+02  0.0023  
Mn  K  1.568478e+03  1.04e+02  0.000454  
Fe  K  2.431024e+04  1.97e+02  0.00587  
Co  K  9.546466e+02  1.07e+02  0.000205  
Ni  K  7.168167e+02  1.39e+02  0.0001333  
Cu  K  3.929317e+02  8.88e+01  6.976e-05  
Zn  K  1.497710e+03  9.74e+01  0.0002619  
As  K  2.743455e+02  8.47e+01  5.266e-05  
Rb  K  6.066838e+01  5.41e+01  2.61e-05  
Sr  K  6.559537e+01  4.20e+01  3.98e-05  
Y  K  1.053399e-01  1.30e+01  1.123e-07  
Zr  K  7.958441e+04  1.72e+05  0.158  
Rh  L  6.148411e+04  5.08e+02  0.1191  
Pd  L  1.470461e+01  4.76e+02  2.051e-05  

SOURCE: ISic000086-MK-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.474128e+02  5.35e+01  0.007999  
P  K  4.006379e-01  9.28e+01  3.757e-06  
S  K  5.409551e+03  1.18e+02  0.01585  
Cl  K  6.740783e+03  2.54e+02  0.01006  
Ar  K  1.330088e+03  2.38e+02  0.00119  
K  K  9.698923e+03  1.60e+02  0.004447  
Ca  K  1.004864e+06  1.02e+03  0.443  
Sc  K  3.046471e+02  2.65e+02  0.0002564  
Ti  K  1.797597e+03  9.62e+01  0.001059  
V  K  5.692142e-01  7.84e+01  2.651e-07  
Cr  K  6.793870e+03  1.23e+02  0.002341  
Mn  K  1.222217e+03  1.01e+02  0.0003535  
Fe  K  1.767625e+04  1.75e+02  0.004261  
Co  K  9.508280e+02  1.03e+02  0.0002037  
Ni  K  8.252475e+02  1.38e+02  0.0001526  
Cu  K  4.027224e+02  8.68e+01  7.108e-05  
Zn  K  9.037389e+02  9.14e+01  0.0001571  
As  K  4.715101e+02  8.42e+01  8.996e-05  
Rb  K  1.643881e+02  5.28e+01  7.028e-05  
Sr  K  4.334763e+01  4.13e+01  2.613e-05  
Y  K  1.421743e+00  1.45e+01  1.506e-06  
