SOURCE: ISic000672-MK-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  5.849626e-01  4.61e+01  3.108e-05  
P  K  8.147761e-02  8.32e+01  7.235e-07  
S  K  4.706730e+03  1.07e+02  0.0127  
Cl  K  2.646302e+03  2.36e+02  0.003632  
Ar  K  2.630670e+01  2.22e+02  2.166e-05  
K  K  2.943242e+02  1.03e+02  0.0001241  
Ca  K  7.865495e+05  9.05e+02  0.3333  
Sc  K  8.111659e+02  2.39e+02  0.0006995  
Ti  K  1.190977e+03  8.92e+01  0.0007191  
V  K  2.000296e+02  7.54e+01  9.555e-05  
Cr  K  7.092415e+03  1.20e+02  0.002506  
Mn  K  4.705851e+02  8.77e+01  0.0001394  
Fe  K  6.401413e+03  1.21e+02  0.00158  
Co  K  3.269750e+02  8.32e+01  7.171e-05  
Ni  K  7.123652e+02  1.29e+02  0.0001343  
Cu  K  8.588925e+02  8.12e+01  0.0001546  
Zn  K  5.966623e+02  7.76e+01  0.0001058  
As  K  3.611666e+02  7.16e+01  7.029e-05  
Rb  K  5.213855e+01  4.46e+01  2.274e-05  
Sr  K  2.438225e+01  3.25e+01  1.5e-05  
Y  K  8.093907e-03  1.05e+01  8.747e-09  
Zr  K  8.883244e+04  1.29e+05  0.1788  
Rh  L  6.023237e+04  5.09e+02  0.1079  
Pd  L  1.597559e+01  4.63e+02  2.057e-05  

SOURCE: ISic000672-MK-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  6.036913e+01  5.22e+01  0.003272  
P  K  1.710405e-01  9.60e+01  1.569e-06  
S  K  3.707139e+03  1.09e+02  0.01033  
Cl  K  2.646698e+03  2.39e+02  0.003752  
Ar  K  1.566681e+02  2.23e+02  0.0001332  
K  K  1.457515e+03  1.20e+02  0.0006339  
Ca  K  1.083346e+06  1.06e+03  0.4688  
Sc  K  7.460954e+02  2.76e+02  0.0006496  
Ti  K  1.368934e+03  9.52e+01  0.0008344  
V  K  2.785480e+01  7.97e+01  1.343e-05  
Cr  K  7.057367e+03  1.22e+02  0.002516  
Mn  K  8.175694e+02  9.37e+01  0.0002445  
Fe  K  1.154155e+04  1.49e+02  0.002876  
Co  K  4.519611e-01  9.06e+01  1.001e-07  
Ni  K  1.009041e+03  1.39e+02  0.0001923  
Cu  K  1.775985e+02  8.50e+01  3.232e-05  
Zn  K  4.891478e+02  8.38e+01  8.768e-05  
As  K  7.504456e+02  8.42e+01  0.0001476  
Rb  K  9.970890e+01  5.24e+01  4.396e-05  
Sr  K  6.900307e+01  3.97e+01  4.291e-05  
Y  K  7.573795e-02  1.25e+01  8.274e-08  
Zr  K  7.883311e+04  1.59e+05  0.1604  
Rh  L  5.937391e+04  5.07e+02  0.1098  
Pd  L  1.549560e+01  4.60e+02  2.06e-05  

SOURCE: ISic000674-MK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  9.846516e+00  4.52e+01  0.0005196  
P  K  3.336123e+02  7.60e+01  0.002975  
S  K  4.408412e+03  1.02e+02  0.01195  
Cl  K  1.330353e+03  2.63e+02  0.001834  
Ar  K  1.901254e+03  2.35e+02  0.001571  
K  K  4.416386e+01  9.57e+01  1.866e-05  
Ca  K  5.299126e+05  7.47e+02  0.2228  
Sc  K  6.887419e+02  2.11e+02  0.0005843  
Ti  K  9.663434e+02  8.70e+01  0.000574  
V  K  1.947347e+02  7.59e+01  9.149e-05  
Cr  K  6.956838e+03  1.21e+02  0.002418  
Mn  K  3.075698e+01  8.82e+01  8.965e-06  
Fe  K  5.267011e+03  1.22e+02  0.001279  
Co  K  7.909440e+02  9.21e+01  0.0001707  
Ni  K  7.108018e+02  1.23e+02  0.000132  
Cu  K  7.042936e+02  8.44e+01  0.0001248  
Zn  K  3.810699e+02  8.19e+01  6.653e-05  
As  K  3.731218e+02  7.91e+01  7.15e-05  
Rb  K  1.000233e+02  4.75e+01  4.296e-05  
Sr  K  9.482808e+01  3.22e+01  5.743e-05  
Y  K  1.482736e+01  1.04e+01  1.578e-05  
