SOURCE: ISic000065-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  3.692283e+02  3.68e+01  0.01858  
Cl  K  1.168723e+02  3.99e+01  0.002668  
Ar  K  5.067154e+02  5.30e+01  0.005841  
K  K  5.529707e+02  4.01e+01  0.003003  
Ca  K  1.337132e+05  3.69e+02  0.3764  
Sc  K  1.575678e+02  8.42e+01  0.0002657  
Ti  K  4.518378e-01  2.58e+01  4.521e-07  
V  K  4.029297e-01  1.82e+01  2.501e-07  
Cr  K  8.791338e+02  3.53e+01  0.000337  
Mn  K  7.304697e+01  2.20e+01  1.856e-05  
Fe  K  1.551640e+03  4.41e+01  0.0002608  
Co  K  2.552184e+01  1.83e+01  3.055e-06  
Ni  K  1.760235e+00  2.35e+01  2.202e-07  
Cu  K  8.605017e+02  3.53e+01  0.0001568  
Zn  K  6.966259e+02  3.39e+01  0.0001089  
As  K  1.039114e+00  7.07e+01  3.033e-07  
Rb  K  3.939716e+02  7.23e+01  6.137e-05  
Sr  K  7.738592e+03  1.25e+02  0.001111  
Y  K  5.162245e+02  8.59e+01  6.953e-05  
Zr  K  4.958064e+02  9.83e+01  6.407e-05  
Rh  K  8.289194e+03  3.50e+03  0.001814  
Rh  L  2.313667e+01  6.44e+01  0.0003219  
Pd  K  1.054985e+04  5.12e+02  0.002524  
Pd  L  5.571148e+02  7.76e+01  0.006082  
Sn  K  9.368423e+02  9.68e+01  0.0004001  
Ba  L  9.590932e+01  4.38e+01  0.000112  
Au  L  3.059057e+02  5.66e+01  9.684e-05  
Hg  L  2.561253e+02  6.01e+01  7.54e-05  
Pb  L  8.668696e+02  1.26e+02  0.0002219  

SOURCE: ISic000065-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  2.778631e+02  3.52e+01  0.01369  
Cl  K  9.208876e+01  3.91e+01  0.002058  
Ar  K  5.371415e+02  5.35e+01  0.006061  
K  K  6.366888e+02  4.16e+01  0.003384  
Ca  K  1.344693e+05  3.70e+02  0.3705  
Sc  K  1.732671e+02  8.47e+01  0.0002859  
Ti  K  8.613768e+01  2.76e+01  8.435e-05  
V  K  4.571071e+01  1.97e+01  2.776e-05  
Cr  K  8.801230e+02  3.52e+01  0.0003302  
Mn  K  5.334582e+01  2.05e+01  1.327e-05  
Fe  K  2.172998e+03  5.03e+01  0.0003577  
Co  K  3.107669e+01  1.80e+01  3.645e-06  
Ni  K  4.706340e-01  2.28e+01  6.611e-08  
Cu  K  4.550301e+02  2.78e+01  8.276e-05  
Zn  K  1.965205e+02  2.36e+01  3.049e-05  
As  K  1.463440e+01  7.03e+01  4.223e-06  
Rb  K  5.166806e+02  7.38e+01  7.947e-05  
Sr  K  6.839389e+03  1.23e+02  0.0009689  
Y  K  5.519649e+02  8.67e+01  7.338e-05  
Zr  K  6.696910e+02  9.87e+01  8.54e-05  
Rh  K  1.198372e+04  3.55e+03  0.002586  
Rh  L  1.333834e+01  6.42e+01  0.0001823  
Pd  K  8.230041e+03  5.15e+02  0.001942  
Pd  L  6.020668e+02  7.81e+01  0.006455  
Sn  K  1.434733e+03  9.94e+01  0.0006042  
Ba  L  1.665518e+01  4.03e+01  1.905e-05  
Au  L  3.394391e+02  5.71e+01  0.000107  
Hg  L  3.322465e+02  6.23e+01  9.666e-05  
Pb  L  8.485921e+02  1.26e+02  0.0002154  

