SOURCE: ISic000297-t-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.851202e+03  5.77e+01  0.09291  
Cl  K  6.512292e+01  5.25e+01  0.001483  
Ar  K  2.780522e+02  6.44e+01  0.003196  
K  K  4.658741e+02  4.40e+01  0.002522  
Ca  K  1.581861e+05  4.09e+02  0.444  
Sc  K  1.711936e+02  9.90e+01  0.0002878  
Ti  K  3.588652e+02  3.71e+01  0.000358  
V  K  6.297499e+01  2.56e+01  3.897e-05  
Cr  K  5.222621e+01  2.00e+01  1.996e-05  
Mn  K  9.599824e+01  2.20e+01  2.433e-05  
Fe  K  3.666558e+03  6.82e+01  0.0006148  
Co  K  9.291930e+01  2.58e+01  1.11e-05  
Ni  K  3.282967e+01  3.00e+01  4.473e-06  
Cu  K  5.987182e+02  3.31e+01  0.0001102  
Zn  K  3.253514e+02  2.99e+01  5.118e-05  
As  K  3.972017e+00  8.30e+01  1.164e-06  
Rb  K  6.393197e+02  8.47e+01  9.987e-05  
Sr  K  6.772475e+03  1.32e+02  0.0009745  
Y  K  5.732054e+02  9.84e+01  7.74e-05  
Zr  K  1.230403e+03  1.13e+02  0.0001594  
Rh  K  5.788589e+02  4.05e+03  0.0001269  
Rh  L  9.152310e+00  8.81e+01  0.0001272  
Pd  K  8.219857e+03  5.92e+02  0.001971  
Pd  L  5.383833e+02  1.05e+02  0.005873  
Sn  K  1.027129e+03  1.12e+02  0.0004395  
Ba  L  1.125037e+01  5.34e+01  1.31e-05  
Au  L  3.739632e+02  6.62e+01  0.0001194  
Hg  L  4.688868e+02  7.07e+01  0.0001385  
Pb  L  1.276092e+03  1.46e+02  0.0003285  

SOURCE: ISic000297-t-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.431175e+02  4.06e+01  0.007267  
Cl  K  1.191087e+00  6.91e+01  2.744e-05  
Ar  K  1.839704e+02  8.99e+01  0.00214  
K  K  7.443117e+02  5.15e+01  0.004079  
Ca  K  1.665474e+05  4.28e+02  0.4732  
Sc  K  1.286240e+03  7.06e+01  0.002189  
Ti  K  7.803489e+02  3.82e+01  0.000788  
V  K  2.152076e+02  2.93e+01  0.0001348  
Cr  K  8.060666e+01  2.13e+01  3.118e-05  
Mn  K  1.137735e+02  2.22e+01  2.918e-05  
Fe  K  3.368491e+03  5.63e+01  0.0005714  
Co  K  3.477761e+02  3.49e+01  4.202e-05  
Ni  K  4.477308e+01  3.53e+01  5.726e-06  
Cu  K  4.870776e+02  3.03e+01  8.978e-05  
Zn  K  3.305709e+02  3.00e+01  5.222e-05  
As  K  9.918596e+01  8.51e+01  2.925e-05  
Rb  K  7.889744e+02  8.82e+01  0.0001241  
Sr  K  3.578204e+03  1.10e+02  0.0005187  
Y  K  6.389350e+02  1.02e+02  8.692e-05  
Zr  K  1.171016e+03  1.13e+02  0.0001528  
Rh  K  2.139687e+03  4.14e+03  0.0004728  
Rh  L  1.497340e+02  1.28e+02  0.002103  
Pd  K  8.138371e+03  5.96e+02  0.001967  
Pd  L  7.738838e+02  1.58e+02  0.008529  
Sn  K  7.919749e+02  1.10e+02  0.0003416  
Ba  L  5.482728e+02  6.91e+01  0.0006461  
Au  L  3.769680e+02  6.97e+01  0.0001206  
Hg  L  3.371976e+02  7.49e+01  0.0001003  
Pb  L  1.034948e+03  1.49e+02  0.0002677  

SOURCE: ISic000297-t-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.427577e+03  5.15e+01  0.07356  
Cl  K  1.096452e+02  4.34e+01  0.002564  
Ar  K  1.894311e+02  4.91e+01  0.002237  
K  K  7.057570e+02  4.44e+01  0.003927  
Ca  K  1.445435e+05  3.86e+02  0.417  
Sc  K  3.162323e+02  1.03e+02  0.0005464  
Ti  K  2.067842e+02  3.41e+01  0.000212  
V  K  6.359985e+01  2.46e+01  4.044e-05  
Cr  K  1.050512e+02  1.97e+01  4.125e-05  
Mn  K  3.333995e+02  2.63e+01  8.678e-05  
Fe  K  5.477083e+03  7.83e+01  0.0009427  
Co  K  6.625711e+01  2.55e+01  8.118e-06  
Ni  K  2.340558e+01  2.72e+01  2.75e-06  
Cu  K  6.798884e+02  3.47e+01  0.000125  
Zn  K  7.873583e+02  3.71e+01  0.0001248  
As  K  1.272144e+02  9.22e+01  3.782e-05  
Rb  K  5.203477e+02  8.21e+01  8.262e-05  
Sr  K  9.054039e+03  1.38e+02  0.001325  
Y  K  5.944419e+02  9.81e+01  8.164e-05  
Zr  K  1.119994e+03  1.13e+02  0.0001476  
Rh  K  2.985888e+03  4.04e+03  0.0006664  
Rh  L  5.509590e+01  6.73e+01  0.0007836  
Pd  K  1.252763e+04  5.95e+02  0.003058  
Pd  L  3.671554e+02  7.77e+01  0.004099  
Sn  K  8.896139e+02  1.10e+02  0.0003876  
Ba  L  3.016854e+01  4.98e+01  3.607e-05  
Au  L  3.322540e+02  6.49e+01  0.0001064  
Hg  L  3.457270e+02  6.88e+01  0.0001037  
Pb  L  3.109925e+03  1.56e+02  0.0008084  

SOURCE: ISic000298-t-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  2.945205e+02  3.99e+01  0.01485  
Cl  K  3.568877e+01  4.68e+01  0.0008162  
Ar  K  6.747326e+02  6.27e+01  0.007791  
K  K  4.652212e+02  4.33e+01  0.00253  
Ca  K  1.817525e+05  4.37e+02  0.5125  
Sc  K  9.845893e-01  1.05e+02  1.663e-06  
Ti  K  1.397346e+02  3.26e+01  0.00014  
V  K  4.866191e+01  2.42e+01  3.025e-05  
Cr  K  6.848341e+01  1.96e+01  2.63e-05  
Mn  K  5.507797e+01  1.96e+01  1.402e-05  
Fe  K  1.252638e+03  4.17e+01  0.000211  
Co  K  4.886385e+01  2.11e+01  5.862e-06  
Ni  K  2.839053e+00  2.89e+01  3.758e-07  
Cu  K  4.544459e+02  3.05e+01  8.366e-05  
Zn  K  2.919849e+02  2.88e+01  4.598e-05  
As  K  8.116690e+00  9.80e+01  2.383e-06  
Rb  K  4.482265e+02  8.28e+01  7.019e-05  
Sr  K  7.252325e+03  1.31e+02  0.001046  
Y  K  5.962883e+02  9.89e+01  8.072e-05  
Zr  K  8.985456e+02  1.12e+02  0.0001167  
Rh  K  2.385963e+03  4.05e+03  0.0005245  
Rh  L  4.456345e+01  7.85e+01  0.0006219  
Pd  K  1.373584e+04  5.99e+02  0.003302  
Pd  L  3.704608e+02  9.31e+01  0.004057  
Sn  K  8.925284e+02  1.10e+02  0.0003829  
Ba  L  3.078828e+01  4.92e+01  3.602e-05  
Au  L  2.227665e+02  6.36e+01  7.114e-05  
Hg  L  2.712902e+02  7.06e+01  8.03e-05  
Pb  L  3.719872e+03  1.64e+02  0.0009588  

SOURCE: ISic000298-t-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  3.281496e+02  4.03e+01  0.01651  
Cl  K  1.658180e+02  5.01e+01  0.003785  
Ar  K  7.069505e+02  6.62e+01  0.008146  
K  K  3.488766e+02  4.22e+01  0.001894  
Ca  K  1.922852e+05  4.45e+02  0.5411  
Sc  K  2.877604e+02  1.12e+02  0.000485  
Ti  K  2.851860e+01  3.33e+01  2.852e-05  
V  K  3.912326e-01  2.32e+01  2.427e-07  
Cr  K  5.265628e+01  1.91e+01  2.018e-05  
Mn  K  1.230152e+02  2.18e+01  3.125e-05  
Fe  K  1.303302e+03  4.21e+01  0.000219  
Co  K  2.989448e+01  2.06e+01  3.58e-06  
Ni  K  3.538145e+01  3.11e+01  4.779e-06  
Cu  K  5.772730e+02  3.27e+01  0.0001064  
Zn  K  4.384196e+02  3.19e+01  6.906e-05  
As  K  7.046462e+02  1.18e+02  0.0002068  
Rb  K  5.275322e+02  8.52e+01  8.255e-05  
Sr  K  9.109817e+03  1.41e+02  0.001313  
Y  K  3.398101e+02  1.00e+02  4.597e-05  
Zr  K  8.364888e+02  1.14e+02  0.0001085  
Rh  K  2.663418e+03  4.15e+03  0.0005851  
Rh  L  1.057465e+01  7.92e+01  0.0001473  
Pd  K  1.446147e+04  6.00e+02  0.003474  
Pd  L  5.925288e+02  9.71e+01  0.006478  
Sn  K  8.430697e+02  1.10e+02  0.0003614  
Ba  L  1.215943e+02  5.33e+01  0.000142  
Au  L  3.289453e+02  6.61e+01  0.0001051  
Hg  L  2.687798e+02  7.22e+01  7.952e-05  
Pb  L  7.392965e+03  1.88e+02  0.001906  

SOURCE: ISic000298-t-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  5.305891e+02  4.31e+01  0.02663  
Cl  K  7.657728e+01  4.92e+01  0.001744  
Ar  K  6.376740e+02  6.49e+01  0.00733  
K  K  3.004536e+02  4.09e+01  0.001627  
Ca  K  1.727076e+05  4.23e+02  0.4848  
Sc  K  5.011863e+00  1.03e+02  8.426e-06  
Ti  K  1.555739e+02  3.40e+01  0.0001552  
V  K  2.171969e+01  2.49e+01  1.344e-05  
Cr  K  7.127397e+01  2.00e+01  2.725e-05  
Mn  K  6.623383e+01  2.01e+01  1.679e-05  
Fe  K  1.251333e+03  4.24e+01  0.0002098  
Co  K  9.502322e+00  1.97e+01  1.135e-06  
Ni  K  5.818785e+01  3.07e+01  7.883e-06  
Cu  K  5.230153e+02  3.21e+01  9.622e-05  
Zn  K  2.872488e+02  2.94e+01  4.516e-05  
As  K  1.801071e+02  9.49e+01  5.274e-05  
Rb  K  3.523988e+02  8.28e+01  5.503e-05  
Sr  K  6.712220e+03  1.31e+02  0.0009655  
Y  K  4.786663e+02  9.83e+01  6.461e-05  
Zr  K  1.137681e+03  1.12e+02  0.0001473  
Rh  K  1.452174e+02  4.12e+03  3.183e-05  
Rh  L  1.763570e+02  8.38e+01  0.002452  
Pd  K  1.192471e+04  5.93e+02  0.002858  
Pd  L  3.485841e+02  1.00e+02  0.003802  
Sn  K  1.257470e+03  1.11e+02  0.0005379  
Ba  L  1.330540e+01  5.44e+01  1.55e-05  
Au  L  3.465929e+02  6.47e+01  0.0001106  
Hg  L  3.463428e+02  6.85e+01  0.0001023  
Pb  L  3.025220e+03  1.60e+02  0.0007783  

SOURCE: ISic000307-t-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.299825e+02  3.74e+01  0.006572  
Cl  K  4.208644e+01  4.69e+01  0.0009654  
Ar  K  7.179504e+02  6.68e+01  0.008315  
K  K  5.623059e+02  4.54e+01  0.003068  
Ca  K  1.771624e+05  4.28e+02  0.5011  
Sc  K  2.467363e+02  1.12e+02  0.000418  
Ti  K  2.770964e+02  4.06e+01  0.0002786  
V  K  1.119577e+02  2.81e+01  6.981e-05  
Cr  K  7.703538e+01  2.03e+01  2.967e-05  
Mn  K  1.957506e+02  2.41e+01  4.998e-05  
Fe  K  9.311605e+03  1.02e+02  0.001573  
Co  K  1.033182e+02  3.06e+01  1.243e-05  
Ni  K  3.397501e+01  3.04e+01  4.434e-06  
Cu  K  5.383035e+02  3.20e+01  9.916e-05  
Zn  K  3.673897e+02  3.01e+01  5.793e-05  
As  K  5.050746e+01  7.98e+01  1.485e-05  
Rb  K  5.166274e+02  8.20e+01  8.105e-05  
Sr  K  4.480649e+03  1.15e+02  0.0006476  
Y  K  5.056765e+02  9.61e+01  6.859e-05  
Zr  K  1.316011e+03  1.09e+02  0.0001712  
Rh  K  2.114208e+03  4.05e+03  0.0004658  
Rh  L  2.361174e+00  7.99e+01  3.304e-05  
Pd  K  7.804136e+03  5.89e+02  0.00188  
Pd  L  4.553503e+02  9.94e+01  0.004999  
Sn  K  1.082686e+03  1.09e+02  0.0004655  
Ba  L  6.535653e+01  5.98e+01  7.669e-05  
Au  L  1.221629e+02  6.22e+01  3.905e-05  
Hg  L  4.475590e+02  7.14e+01  0.0001327  
Pb  L  8.619553e+02  1.42e+02  0.0002225  

SOURCE: ISic000307-t-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.753723e+02  3.86e+01  0.008741  
Cl  K  4.571940e+01  4.70e+01  0.001034  
Ar  K  6.967013e+02  6.43e+01  0.007951  
K  K  3.505396e+02  4.21e+01  0.001884  
Ca  K  2.015118e+05  4.55e+02  0.5616  
Sc  K  5.452303e+01  1.12e+02  9.101e-05  
Ti  K  1.563163e+02  3.43e+01  0.0001548  
V  K  8.565986e-01  2.23e+01  5.263e-07  
Cr  K  7.265373e+01  1.88e+01  2.757e-05  
Mn  K  5.778103e+01  1.94e+01  1.454e-05  
Fe  K  1.762773e+03  4.73e+01  0.0002935  
Co  K  7.467740e+01  2.22e+01  8.861e-06  
Ni  K  4.818728e+00  2.84e+01  6.859e-07  
Cu  K  5.218950e+02  3.14e+01  9.603e-05  
Zn  K  2.219818e+02  2.71e+01  3.484e-05  
As  K  1.140548e+02  7.93e+01  3.33e-05  
Rb  K  4.953830e+02  8.15e+01  7.708e-05  
Sr  K  4.099611e+03  1.13e+02  0.0005875  
Y  K  5.813572e+02  9.63e+01  7.818e-05  
Zr  K  9.769121e+02  1.07e+02  0.000126  
Rh  K  2.710378e+03  4.10e+03  0.0005917  
Rh  L  8.456149e+00  7.86e+01  0.0001169  
Pd  K  1.244490e+04  5.93e+02  0.002971  
Pd  L  6.055361e+02  9.62e+01  0.006567  
Sn  K  8.646220e+02  1.12e+02  0.0003683  
Ba  L  1.133299e+02  5.05e+01  0.0001311  
Au  L  3.746532e+02  6.38e+01  0.0001194  
Hg  L  4.340690e+02  7.16e+01  0.0001277  
Pb  L  9.486161e+02  1.44e+02  0.0002435  

SOURCE: ISic000307-t-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.697425e+02  3.84e+01  0.008543  
Cl  K  1.354138e+01  4.73e+01  0.0003092  
Ar  K  6.610023e+02  6.55e+01  0.00762  
K  K  3.930153e+02  4.23e+01  0.002134  
Ca  K  1.898747e+05  4.42e+02  0.5345  
Sc  K  5.862949e+01  1.08e+02  9.886e-05  
Ti  K  1.704075e+02  3.51e+01  0.0001705  
V  K  1.310551e+01  2.33e+01  8.133e-06  
Cr  K  1.052087e+02  1.97e+01  4.033e-05  
Mn  K  1.133374e+02  2.08e+01  2.88e-05  
Fe  K  2.291990e+03  5.35e+01  0.0003854  
Co  K  6.145827e+01  2.34e+01  7.362e-06  
Ni  K  1.285072e+01  2.97e+01  1.724e-06  
Cu  K  5.961279e+02  3.20e+01  0.0001098  
Zn  K  3.649214e+02  2.93e+01  5.746e-05  
As  K  3.807407e+00  8.08e+01  1.117e-06  
Rb  K  4.377003e+02  8.15e+01  6.849e-05  
Sr  K  4.107651e+03  1.13e+02  0.0005921  
Y  K  6.977627e+02  9.76e+01  9.439e-05  
Zr  K  6.838226e+02  1.06e+02  8.873e-05  
Rh  K  1.592763e+03  4.05e+03  0.0003499  
Rh  L  1.421625e+02  8.16e+01  0.001981  
Pd  K  1.350585e+04  5.96e+02  0.003244  
Pd  L  4.162185e+02  9.92e+01  0.004552  
Sn  K  1.218888e+03  1.10e+02  0.0005225  
Ba  L  6.733175e+01  5.28e+01  7.865e-05  
Au  L  4.967317e+02  6.61e+01  0.0001587  
Hg  L  2.394864e+02  6.78e+01  7.085e-05  
Pb  L  1.132170e+03  1.43e+02  0.0002918  

SOURCE: ISic000307-t-4.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.557737e+02  3.79e+01  0.007668  
Cl  K  8.677592e+01  4.79e+01  0.001937  
Ar  K  8.061471e+02  6.71e+01  0.009083  
K  K  2.713873e+02  4.10e+01  0.00144  
Ca  K  1.896448e+05  4.42e+02  0.5217  
Sc  K  1.706213e+01  1.10e+02  2.811e-05  
Ti  K  1.408388e+02  3.43e+01  0.0001377  
V  K  4.056986e+01  2.43e+01  2.46e-05  
Cr  K  8.497006e+01  1.93e+01  3.184e-05  
Mn  K  6.040968e+01  1.92e+01  1.501e-05  
Fe  K  1.578726e+03  4.53e+01  0.0002596  
Co  K  3.570157e+01  2.03e+01  4.184e-06  
Ni  K  3.233417e+01  2.80e+01  4.928e-06  
Cu  K  4.758189e+02  3.01e+01  8.725e-05  
Zn  K  1.358144e+02  2.48e+01  2.12e-05  
As  K  1.517625e+01  7.86e+01  4.399e-06  
Rb  K  5.166169e+02  8.08e+01  7.977e-05  
Sr  K  3.800532e+03  1.10e+02  0.0005404  
Y  K  8.931947e+02  9.68e+01  0.0001192  
Zr  K  9.835336e+02  1.05e+02  0.0001259  
Rh  K  1.319221e+03  4.07e+03  0.0002856  
Rh  L  2.832299e+01  8.00e+01  0.0003873  
Pd  K  1.364048e+04  5.92e+02  0.003229  
Pd  L  4.140073e+02  9.83e+01  0.004441  
Sn  K  1.196785e+03  1.11e+02  0.0005055  
Ba  L  7.285492e+01  5.35e+01  8.323e-05  
Au  L  3.051983e+02  6.21e+01  9.69e-05  
Hg  L  3.368122e+02  6.79e+01  9.841e-05  
Pb  L  9.585877e+02  1.39e+02  0.0002447  

SOURCE: ISic000307-t-5.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  2.268182e+02  3.93e+01  0.01134  
Cl  K  1.127430e+02  5.10e+01  0.002556  
Ar  K  7.126017e+02  6.97e+01  0.008157  
K  K  3.202174e+02  4.22e+01  0.001727  
Ca  K  1.908372e+05  4.45e+02  0.5334  
Sc  K  2.434146e+00  1.10e+02  4.075e-06  
Ti  K  2.103429e+02  3.64e+01  0.000209  
V  K  3.357122e-01  2.41e+01  2.069e-07  
Cr  K  6.834846e+01  2.05e+01  2.602e-05  
Mn  K  1.257653e+02  2.28e+01  3.174e-05  
Fe  K  2.826480e+03  5.95e+01  0.000472  
Co  K  5.728480e+01  2.36e+01  6.816e-06  
Ni  K  6.591659e+01  3.20e+01  9.209e-06  
Cu  K  5.934459e+02  3.33e+01  0.0001092  
Zn  K  2.819866e+02  2.92e+01  4.43e-05  
As  K  1.551564e-01  8.66e+01  4.536e-08  
Rb  K  5.634225e+02  8.33e+01  8.781e-05  
Sr  K  3.364365e+03  1.10e+02  0.0004829  
Y  K  5.555904e+02  9.81e+01  7.484e-05  
Zr  K  9.131857e+02  1.07e+02  0.000118  
Rh  K  3.730308e+02  4.02e+03  8.158e-05  
Rh  L  2.362945e+01  8.72e+01  0.0003274  
Pd  K  7.682953e+03  5.92e+02  0.001837  
Pd  L  4.849158e+02  1.06e+02  0.005271  
Sn  K  1.173381e+03  1.12e+02  0.0005007  
Ba  L  5.267598e+01  5.67e+01  6.111e-05  
Au  L  3.415503e+02  6.51e+01  0.0001089  
Hg  L  4.675085e+02  7.25e+01  0.0001378  
Pb  L  1.538773e+03  1.50e+02  0.0003955  

SOURCE: ISic000307-t-6.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  8.475912e+01  3.48e+01  0.004239  
Cl  K  2.591342e+00  4.14e+01  5.879e-05  
Ar  K  7.456122e+02  5.94e+01  0.00854  
K  K  1.979405e+02  3.74e+01  0.001068  
Ca  K  1.696521e+05  4.18e+02  0.4745  
Sc  K  1.067433e+02  1.04e+02  0.0001788  
Ti  K  1.099067e+02  3.10e+01  0.0001093  
V  K  1.859375e+01  2.22e+01  1.147e-05  
Cr  K  1.012725e+02  1.88e+01  3.858e-05  
Mn  K  1.429885e+02  2.01e+01  3.611e-05  
Fe  K  1.261037e+03  4.04e+01  0.0002107  
Co  K  1.910184e+01  1.91e+01  2.274e-06  
Ni  K  1.564548e+00  2.77e+01  2.138e-07  
Cu  K  3.893145e+02  2.90e+01  7.149e-05  
Zn  K  2.053790e+02  2.65e+01  3.221e-05  
As  K  1.184134e+02  7.80e+01  3.458e-05  
Rb  K  3.383062e+02  7.71e+01  5.268e-05  
Sr  K  3.458336e+03  1.06e+02  0.000496  
Y  K  4.032170e+02  9.29e+01  5.427e-05  
Zr  K  8.922811e+02  1.04e+02  0.0001152  
Rh  K  1.943788e+03  3.96e+03  0.0004248  
Rh  L  1.022720e+02  7.03e+01  0.001417  
Pd  K  1.273393e+04  5.75e+02  0.003043  
Pd  L  2.972249e+02  8.46e+01  0.003231  
Sn  K  8.932133e+02  1.07e+02  0.000381  
Ba  L  1.046379e+01  4.71e+01  1.215e-05  
Au  L  1.586472e+02  6.05e+01  5.05e-05  
Hg  L  4.469525e+02  6.65e+01  0.0001316  
Pb  L  1.257888e+03  1.37e+02  0.0003228  

SOURCE: ISic000315-t-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  3.066981e+02  4.11e+01  0.01522  
Cl  K  7.023124e+01  5.05e+01  0.001581  
Ar  K  7.150395e+02  6.86e+01  0.008123  
K  K  3.807269e+02  4.36e+01  0.002037  
Ca  K  1.906058e+05  4.45e+02  0.5287  
Sc  K  1.118788e+02  1.12e+02  0.0001859  
Ti  K  1.772485e+02  3.42e+01  0.0001747  
V  K  3.127969e+01  2.31e+01  1.913e-05  
Cr  K  1.081569e+02  2.07e+01  4.086e-05  
Mn  K  1.127358e+02  2.16e+01  2.824e-05  
Fe  K  2.245118e+03  5.36e+01  0.0003721  
Co  K  9.161890e+01  2.36e+01  1.082e-05  
Ni  K  8.076867e+01  3.13e+01  1.185e-05  
Cu  K  5.514692e+02  3.28e+01  0.0001014  
Zn  K  1.991763e+02  2.74e+01  3.122e-05  
As  K  2.629098e+01  9.44e+01  7.659e-06  
Rb  K  5.802922e+02  8.55e+01  9.007e-05  
Sr  K  7.433719e+03  1.35e+02  0.001063  
Y  K  6.124837e+02  1.00e+02  8.216e-05  
Zr  K  1.363300e+03  1.15e+02  0.0001754  
Rh  K  1.478811e+03  4.07e+03  0.000322  
Rh  L  3.050013e+00  8.46e+01  4.2e-05  
Pd  K  1.190246e+04  5.96e+02  0.002834  
Pd  L  4.548990e+02  1.03e+02  0.004914  
Sn  K  1.041608e+03  1.12e+02  0.0004425  
Ba  L  1.424166e+00  5.11e+01  1.64e-06  
Au  L  2.873431e+02  6.49e+01  9.154e-05  
Hg  L  4.486802e+02  7.24e+01  0.0001317  
Pb  L  2.740354e+03  1.60e+02  0.0007024  

SOURCE: ISic000315-t-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  4.084080e+02  4.09e+01  0.02054  
Cl  K  1.042399e+02  4.75e+01  0.002378  
Ar  K  4.531180e+02  6.24e+01  0.005219  
K  K  3.605027e+02  4.22e+01  0.001956  
Ca  K  1.868035e+05  4.39e+02  0.5255  
Sc  K  7.663036e+01  1.09e+02  0.0001291  
Ti  K  1.824560e+02  3.41e+01  0.0001824  
V  K  3.028244e+01  2.39e+01  1.878e-05  
Cr  K  7.241980e+01  1.94e+01  2.774e-05  
Mn  K  8.292815e+01  2.09e+01  2.106e-05  
Fe  K  2.048930e+03  5.13e+01  0.0003443  
Co  K  7.464805e+00  2.23e+01  8.936e-07  
Ni  K  3.467213e+00  2.94e+01  4.695e-07  
Cu  K  5.589151e+02  3.21e+01  0.000103  
Zn  K  3.089378e+02  2.90e+01  4.866e-05  
As  K  1.763408e+02  9.43e+01  5.174e-05  
Rb  K  6.020306e+02  8.36e+01  9.419e-05  
Sr  K  7.603968e+03  1.34e+02  0.001096  
Y  K  6.899563e+02  9.95e+01  9.332e-05  
Zr  K  1.148090e+03  1.13e+02  0.000149  
Rh  K  1.622780e+03  4.09e+03  0.0003564  
Rh  L  2.377526e+01  7.95e+01  0.0003312  
Pd  K  1.459516e+04  5.94e+02  0.003505  
Pd  L  6.601423e+02  9.65e+01  0.007215  
Sn  K  9.120770e+02  1.11e+02  0.0003909  
Ba  L  7.679565e+01  5.20e+01  8.964e-05  
Au  L  2.889197e+02  6.60e+01  9.233e-05  
Hg  L  3.906118e+02  7.26e+01  0.0001155  
Pb  L  2.856129e+03  1.58e+02  0.0007361  

SOURCE: ISic000316-t-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  6.960621e+02  4.69e+01  0.03519  
Cl  K  2.793931e+02  5.88e+01  0.006409  
Ar  K  7.108027e+02  7.75e+01  0.008231  
K  K  3.930845e+02  4.57e+01  0.002144  
Ca  K  1.998263e+05  4.54e+02  0.5652  
Sc  K  7.427818e+01  9.84e+01  0.0001258  
Ti  K  3.100616e+02  3.55e+01  0.0003117  
V  K  7.794358e+01  2.55e+01  4.859e-05  
Cr  K  9.216916e+01  2.11e+01  3.55e-05  
Mn  K  1.173836e+02  2.23e+01  2.997e-05  
Fe  K  1.482752e+03  4.54e+01  0.0002505  
Co  K  5.362744e+01  2.33e+01  6.453e-06  
Ni  K  8.974589e+00  3.24e+01  1.195e-06  
Cu  K  5.116089e+02  3.20e+01  9.451e-05  
Zn  K  3.446874e+02  3.02e+01  5.446e-05  
As  K  4.896584e+01  9.34e+01  1.442e-05  
Rb  K  5.440183e+02  8.58e+01  8.545e-05  
Sr  K  6.814961e+03  1.35e+02  0.0009861  
Y  K  4.134213e+02  1.01e+02  5.614e-05  
Zr  K  1.092408e+03  1.16e+02  0.0001423  
Rh  K  4.136761e+02  4.17e+03  9.123e-05  
Rh  L  1.553293e+02  9.56e+01  0.002174  
Pd  K  5.888586e+03  6.07e+02  0.00142  
Pd  L  6.997138e+02  1.21e+02  0.007685  
Sn  K  9.873141e+02  1.14e+02  0.0004249  
Ba  L  1.184942e+02  5.65e+01  0.000139  
