SOURCE: ISic000401-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  3.494093e+02  4.00e+01  0.01777  
Cl  K  2.907395e+02  4.83e+01  0.006709  
Ar  K  8.701485e+02  6.42e+01  0.01014  
K  K  1.311805e+03  5.41e+01  0.007201  
Ca  K  2.250977e+05  4.78e+02  0.6407  
Sc  K  1.866404e+01  1.04e+02  3.182e-05  
Ti  K  1.443726e+02  2.94e+01  0.000146  
V  K  7.073072e+00  2.02e+01  4.438e-06  
Cr  K  3.245865e+01  1.63e+01  1.258e-05  
Mn  K  1.179320e+02  1.93e+01  3.029e-05  
Fe  K  2.248713e+03  5.15e+01  0.000382  
Co  K  1.882396e+01  1.94e+01  2.277e-06  
Ni  K  5.619880e+01  2.61e+01  6.813e-06  
Cu  K  3.138697e+02  2.48e+01  5.743e-05  
Zn  K  3.054784e+02  2.60e+01  4.803e-05  
As  K  2.521138e+01  6.79e+01  7.418e-06  
Rb  K  5.864986e+02  7.15e+01  9.212e-05  
Sr  K  6.435934e+03  1.17e+02  0.0009314  
Y  K  5.009210e+02  8.37e+01  6.804e-05  
Zr  K  5.929780e+02  9.48e+01  7.728e-05  
Rh  K  6.382311e+03  3.61e+03  0.001409  
Rh  L  1.118173e+02  7.77e+01  0.001571  
Pd  K  7.529527e+03  5.28e+02  0.001817  
Pd  L  7.247584e+02  9.20e+01  0.007992  
Sn  K  1.073051e+03  1.01e+02  0.0004623  
Ba  L  3.156103e+00  4.21e+01  3.725e-06  
Au  L  2.647633e+02  5.22e+01  8.424e-05  
Hg  L  2.509426e+02  5.56e+01  7.447e-05  
Pb  L  9.276060e+02  1.22e+02  0.000239  

SOURCE: ISic000401-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  9.463484e+02  4.81e+01  0.0482  
Cl  K  3.052845e+02  4.98e+01  0.007056  
Ar  K  6.485295e+02  6.14e+01  0.007569  
K  K  9.870116e+02  5.06e+01  0.005427  
Ca  K  2.205757e+05  4.74e+02  0.6288  
Sc  K  8.779723e+00  1.01e+02  1.499e-05  
Ti  K  1.070444e+02  2.95e+01  0.0001085  
V  K  1.905925e+00  1.94e+01  1.198e-06  
Cr  K  6.993758e+01  1.70e+01  2.714e-05  
Mn  K  1.306607e+02  1.96e+01  3.362e-05  
Fe  K  1.660126e+03  4.55e+01  0.0002825  
Co  K  1.321182e+01  1.90e+01  1.601e-06  
Ni  K  1.405138e+01  2.52e+01  1.691e-06  
Cu  K  2.570593e+02  2.38e+01  4.704e-05  
Zn  K  2.626962e+02  2.53e+01  4.132e-05  
As  K  8.689759e+00  6.89e+01  2.559e-06  
Rb  K  4.801710e+02  7.17e+01  7.55e-05  
