SOURCE: ISic002713-t-9.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  4.075170e+02  4.63e+01  0.02097  
Cl  K  3.468994e+02  5.68e+01  0.008103  
Ar  K  2.002495e+03  8.38e+01  0.02362  
K  K  2.324652e+03  6.97e+01  0.01292  
Ca  K  4.090329e+05  6.46e+02  1.179  
Sc  K  2.567899e+01  1.41e+02  4.432e-05  
Ti  K  3.740092e+02  4.79e+01  0.000383  
V  K  9.570858e+00  2.78e+01  6.079e-06  
Cr  K  1.405729e+02  1.96e+01  5.514e-05  
Mn  K  2.038211e+02  2.37e+01  5.299e-05  
Fe  K  3.037926e+03  6.00e+01  0.0005222  
Co  K  2.041087e+01  2.37e+01  2.498e-06  
Ni  K  3.873192e+02  4.84e+01  4.45e-05  
Cu  K  2.439318e+02  3.14e+01  4.462e-05  
Zn  K  3.260234e+02  3.59e+01  5.146e-05  
As  K  2.643660e+00  8.28e+01  7.84e-07  
Rb  K  5.759083e+02  7.43e+01  9.124e-05  
Sr  K  1.838820e+04  1.68e+02  0.002684  
Y  K  3.588285e+02  7.81e+01  4.917e-05  
Zr  K  5.182448e+02  9.92e+01  6.814e-05  
Rh  K  8.035205e+03  2.64e+03  0.00179  
Rh  L  6.013880e+02  9.61e+01  0.008541  
Pd  K  5.253020e+03  3.84e+02  0.00128  
Pd  L  1.155003e+03  1.15e+02  0.01288  
Sn  K  8.102547e+02  7.34e+01  0.0003524  
Ba  L  7.806839e+02  6.95e+01  0.0009324  
Au  L  5.786944e+02  8.15e+01  0.0001846  
Hg  L  7.659542e+02  8.60e+01  0.0002291  
Pb  L  1.242073e+03  1.37e+02  0.0003218  

SOURCE: ISic002713-t-10.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  9.008145e+02  5.21e+01  0.04497  
Cl  K  4.901554e+02  5.94e+01  0.0111  
Ar  K  2.003637e+03  8.44e+01  0.02291  
K  K  2.650025e+03  7.28e+01  0.01427  
Ca  K  4.129929e+05  6.49e+02  1.153  
Sc  K  1.893088e+01  1.41e+02  3.166e-05  
Ti  K  4.494859e+02  5.04e+01  0.0004461  
V  K  5.546917e+01  3.05e+01  3.414e-05  
Cr  K  1.450423e+02  2.10e+01  5.515e-05  
Mn  K  4.774879e+02  3.08e+01  0.0001204  
Fe  K  8.426480e+03  9.61e+01  0.001405  
Co  K  7.652648e+01  2.96e+01  9.094e-06  
Ni  K  3.941515e+02  4.64e+01  5.362e-05  
Cu  K  3.049205e+02  3.12e+01  5.587e-05  
Zn  K  1.625022e+02  3.33e+01  2.544e-05  
As  K  8.824471e-01  8.54e+01  2.572e-07  
Rb  K  4.610196e+02  7.48e+01  7.165e-05  
Sr  K  1.913147e+04  1.70e+02  0.002739  
Y  K  3.521692e+02  7.87e+01  4.731e-05  
Zr  K  4.735052e+02  9.98e+01  6.102e-05  
Rh  K  7.815078e+03  2.66e+03  0.001705  
Rh  L  4.412144e+02  9.64e+01  0.006103  
Pd  K  4.790986e+03  3.86e+02  0.001143  
Pd  L  1.230612e+03  1.15e+02  0.01336  
Sn  K  8.768907e+02  7.42e+01  0.0003733  
Ba  L  8.176496e+02  7.38e+01  0.0009474  
Au  L  4.679706e+02  8.35e+01  0.0001487  
Hg  L  5.868036e+02  8.68e+01  0.0001725  
Pb  L  1.245395e+03  1.39e+02  0.000319  

SOURCE: ISic002713-t-11.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  5.075832e+02  4.76e+01  0.02583  
Cl  K  4.625908e+02  5.72e+01  0.01068  
Ar  K  1.914196e+03  8.36e+01  0.02232  
K  K  2.431075e+03  7.12e+01  0.01335  
Ca  K  4.109079e+05  6.47e+02  1.17  
Sc  K  1.315689e+00  1.41e+02  2.244e-06  
Ti  K  3.088305e+02  4.75e+01  0.0003126  
V  K  1.272136e+01  2.83e+01  7.986e-06  
Cr  K  2.918184e+02  2.49e+01  0.0001131  
Mn  K  1.089550e+03  4.08e+01  0.00028  
Fe  K  4.100142e+03  6.99e+01  0.000697  
Co  K  6.890333e+01  2.67e+01  8.34e-06  
Ni  K  3.411479e+02  4.65e+01  4.17e-05  
Cu  K  1.912118e+02  3.08e+01  3.505e-05  
Zn  K  1.806879e+02  3.46e+01  2.845e-05  
As  K  1.232310e+01  8.38e+01  3.63e-06  
Rb  K  4.002898e+02  7.30e+01  6.294e-05  
Sr  K  1.841400e+04  1.68e+02  0.002668  
Y  K  3.204245e+02  7.70e+01  4.357e-05  
Zr  K  6.237120e+02  9.96e+01  8.136e-05  
Rh  K  8.584526e+03  2.71e+03  0.001896  
Rh  L  3.723904e+02  9.35e+01  0.005236  
Pd  K  4.655583e+03  3.80e+02  0.001125  
Pd  L  1.259309e+03  1.15e+02  0.0139  
Sn  K  7.119884e+02  7.26e+01  0.000307  
Ba  L  5.817369e+02  7.07e+01  0.000687  
Au  L  5.825925e+02  8.12e+01  0.0001857  
Hg  L  8.632109e+02  8.65e+01  0.0002564  
Pb  L  1.256299e+03  1.36e+02  0.0003241  

SOURCE: ISic002713-t-12.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.200028e+03  5.53e+01  0.06133  
Cl  K  4.581184e+02  6.09e+01  0.01063  
Ar  K  2.187645e+03  8.59e+01  0.02562  
K  K  2.092127e+03  6.70e+01  0.01154  
Ca  K  3.985625e+05  6.37e+02  1.14  
Sc  K  1.747457e+01  1.34e+02  2.994e-05  
Ti  K  2.679264e+02  4.40e+01  0.0002724  
V  K  9.956996e+00  2.72e+01  6.279e-06  
Cr  K  5.556384e+01  1.67e+01  2.164e-05  
Mn  K  7.335817e+01  1.95e+01  1.894e-05  
Fe  K  3.771570e+03  6.53e+01  0.0006439  
Co  K  5.571473e+01  2.47e+01  6.772e-06  
Ni  K  1.506482e+02  4.34e+01  1.795e-05  
Cu  K  2.725822e+02  3.14e+01  4.993e-05  
Zn  K  2.942299e+02  3.41e+01  4.637e-05  
As  K  6.464440e+01  8.25e+01  1.909e-05  
Rb  K  6.334679e+02  7.48e+01  9.988e-05  
Sr  K  2.051172e+04  1.74e+02  0.00298  
Y  K  5.698748e+02  7.91e+01  7.771e-05  
Zr  K  3.767706e+02  9.93e+01  4.929e-05  
Rh  K  9.884118e+03  2.64e+03  0.00219  
Rh  L  1.097927e+03  1.05e+02  0.0155  
Pd  K  5.026906e+03  3.80e+02  0.001218  
