SOURCE: ISic000655-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.178111e+02  3.87e+01  0.005773  
Cl  K  1.540772e+02  4.74e+01  0.003425  
Ar  K  7.196784e+02  6.55e+01  0.008073  
K  K  1.201560e+03  5.41e+01  0.006349  
Ca  K  2.535627e+05  5.08e+02  0.6945  
Sc  K  3.034506e+01  1.08e+02  4.978e-05  
Ti  K  7.537318e+01  2.89e+01  7.337e-05  
V  K  2.734866e+01  2.11e+01  1.651e-05  
Cr  K  1.188342e+02  1.89e+01  4.433e-05  
Mn  K  3.413845e+01  1.70e+01  8.443e-06  
Fe  K  1.403932e+03  4.22e+01  0.0002298  
Co  K  8.425502e+00  1.77e+01  9.831e-07  
Ni  K  2.504402e+00  2.42e+01  3.818e-07  
Cu  K  3.149162e+02  2.52e+01  5.752e-05  
Zn  K  8.712218e+01  2.03e+01  1.354e-05  
As  K  1.884930e+01  6.82e+01  5.442e-06  
Rb  K  2.196417e+02  7.05e+01  3.377e-05  
Sr  K  1.042440e+04  1.38e+02  0.001476  
Y  K  6.976718e+02  8.67e+01  9.269e-05  
Zr  K  5.985355e+02  1.01e+02  7.627e-05  
Rh  K  1.488414e+04  3.76e+03  0.003209  
Rh  L  6.648767e+01  7.85e+01  0.0009053  
Pd  K  9.083256e+03  5.42e+02  0.002141  
Pd  L  1.055166e+03  9.74e+01  0.01127  
Sn  K  1.080957e+03  1.03e+02  0.0004547  
Ba  L  7.717470e+01  4.44e+01  8.778e-05  
Au  L  2.023036e+02  5.26e+01  6.398e-05  
Hg  L  2.397091e+02  5.74e+01  6.975e-05  
Pb  L  7.126330e+02  1.22e+02  0.0001811  

SOURCE: ISic000655-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.161649e+02  3.85e+01  0.005759  
Cl  K  2.447463e+02  4.91e+01  0.005504  
Ar  K  8.406361e+02  6.65e+01  0.009542  
K  K  1.191161e+03  5.38e+01  0.006369  
Ca  K  2.618846e+05  5.16e+02  0.7259  
Sc  K  1.059641e+01  1.09e+02  1.759e-05  
Ti  K  5.407637e+01  2.74e+01  5.327e-05  
V  K  4.604256e+00  2.06e+01  2.813e-06  
Cr  K  6.291139e+01  1.76e+01  2.375e-05  
Mn  K  3.251230e+01  1.68e+01  8.137e-06  
Fe  K  7.123789e+02  3.23e+01  0.000118  
Co  K  1.741615e+01  1.75e+01  2.055e-06  
Ni  K  9.513899e-01  2.56e+01  1.36e-07  
Cu  K  2.910008e+02  2.45e+01  5.332e-05  
Zn  K  1.186526e+02  2.15e+01  1.854e-05  
As  K  8.411435e+00  6.65e+01  2.444e-06  
Rb  K  3.879042e+02  7.12e+01  6.007e-05  
