SOURCE: ISic000655-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  1.507537e+01  3.31e+01  0.02181  
Si  K  2.547471e+01  3.32e+01  0.00949  
P  K  1.177982e+01  4.77e+01  0.001538  
S  K  1.307681e+02  3.98e+01  0.006399  
Cl  K  1.696203e+02  4.98e+01  0.003765  
Ar  K  7.193520e+02  6.77e+01  0.008058  
K  K  1.211979e+03  5.42e+01  0.006394  
Ca  K  2.535817e+05  5.09e+02  0.6935  
Sc  K  1.099623e+02  1.11e+02  0.0001801  
Ti  K  7.031773e+01  3.13e+01  6.834e-05  
V  K  2.027349e+01  2.13e+01  1.222e-05  
Cr  K  1.064505e+02  2.02e+01  3.965e-05  
Mn  K  3.406216e+01  1.66e+01  8.412e-06  
Fe  K  1.398544e+03  4.18e+01  0.0002286  
Co  K  1.000259e+01  1.67e+01  1.166e-06  
Ni  K  2.299260e+01  2.24e+01  3.537e-06  
Cu  K  3.098428e+02  2.44e+01  5.657e-05  
Zn  K  8.080591e+01  1.91e+01  1.255e-05  
Ga  K  5.896244e+01  2.15e+01  2.411e-05  
As  K  7.553540e+01  6.38e+01  2.179e-05  
Rb  K  1.816363e+02  6.56e+01  2.791e-05  
Sr  K  1.013559e+04  1.37e+02  0.001434  
Y  K  5.829051e+02  8.12e+01  7.738e-05  
Zr  K  3.121599e+02  9.52e+01  3.974e-05  
Nb  K  2.509113e+02  8.91e+01  3.131e-05  
Rh  L  3.843354e+01  8.28e+01  0.0005227  
Pd  L  1.083571e+03  1.02e+02  0.01156  
Cs  L  3.658326e+01  3.61e+01  5.093e-05  
Ba  L  6.975546e+01  5.82e+01  7.923e-05  
La  L  5.918370e+01  3.47e+01  5.322e-05  
Ce  L  1.623314e+01  4.00e+01  1.163e-05  
Au  L  1.966908e+02  4.94e+01  6.218e-05  
Hg  L  2.356984e+02  5.37e+01  6.853e-05  
Pb  L  6.490807e+02  1.15e+02  0.0001649  
Th  L  7.711555e+02  1.11e+02  0.0001339  

SOURCE: ISic000655-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  1.440680e+02  3.59e+01  0.2111  
Si  K  5.317229e+01  3.41e+01  0.02007  
P  K  7.517958e+01  4.97e+01  0.009947  
S  K  1.231340e+02  4.03e+01  0.006107  
Cl  K  2.624979e+02  5.39e+01  0.005906  
Ar  K  8.454316e+02  7.15e+01  0.009601  
K  K  1.195053e+03  5.45e+01  0.006393  
Ca  K  2.621073e+05  5.17e+02  0.7269  
Sc  K  1.726395e+02  1.12e+02  0.0002867  
