SOURCE: t-ISic000711-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  6.746886e+02  4.78e+01  0.03505  
Cl  K  1.851679e+02  5.02e+01  0.004366  
Ar  K  9.465923e+02  6.93e+01  0.01127  
K  K  1.327807e+03  5.70e+01  0.00745  
Ca  K  2.888200e+05  5.42e+02  0.8402  
Sc  K  1.755890e+01  1.16e+02  3.059e-05  
Ti  K  4.017962e+01  3.13e+01  4.154e-05  
V  K  1.954111e+00  2.13e+01  1.253e-06  
Cr  K  1.192046e+02  1.93e+01  4.72e-05  
Mn  K  8.058749e+01  1.94e+01  2.115e-05  
Fe  K  2.331989e+03  5.32e+01  0.0004046  
Co  K  5.641675e+00  2.05e+01  6.967e-07  
Ni  K  2.678476e+01  2.77e+01  3.029e-06  
Cu  K  3.413174e+02  2.66e+01  6.269e-05  
Zn  K  5.136620e+02  3.14e+01  8.157e-05  
As  K  1.230603e+01  7.67e+01  3.678e-06  
Rb  K  3.661751e+02  7.50e+01  5.849e-05  
Sr  K  8.846136e+03  1.33e+02  0.001302  
Y  K  3.167427e+02  8.96e+01  4.377e-05  
Zr  K  6.917169e+02  1.07e+02  9.17e-05  
Rh  K  1.584311e+04  3.98e+03  0.003558  
Rh  L  2.935920e+01  8.18e+01  0.0004207  
Pd  K  1.216664e+04  5.79e+02  0.002989  
Pd  L  9.762168e+02  1.00e+02  0.01098  
Sn  K  1.426768e+03  1.09e+02  0.0006258  
Ba  L  1.179865e+02  4.97e+01  0.0001422  
Au  L  2.540552e+02  5.59e+01  8.147e-05  
Hg  L  2.968224e+02  5.97e+01  8.95e-05  
Pb  L  1.514469e+03  1.37e+02  0.0003951  

SOURCE: t-ISic000711-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  6.246883e+02  4.66e+01  0.0326  
Cl  K  1.645971e+02  5.03e+01  0.003899  
Ar  K  1.036024e+03  6.97e+01  0.01239  
K  K  1.294116e+03  5.60e+01  0.007294  
Ca  K  2.825562e+05  5.36e+02  0.8258  
Sc  K  1.457502e+02  1.12e+02  0.0002551  
Ti  K  1.166503e+02  3.12e+01  0.0001212  
V  K  4.444064e+01  2.21e+01  2.862e-05  
Cr  K  6.854514e+01  1.84e+01  2.726e-05  
Mn  K  1.178452e+02  2.09e+01  3.106e-05  
Fe  K  2.854941e+03  5.82e+01  0.0004975  
Co  K  3.720418e+01  2.20e+01  4.613e-06  
Ni  K  1.762107e+00  2.69e+01  1.946e-07  
Cu  K  3.920095e+02  2.77e+01  7.186e-05  
Zn  K  6.847681e+02  3.38e+01  0.0001088  
As  K  3.986862e+01  7.45e+01  1.195e-05  
Rb  K  4.349545e+02  7.53e+01  6.97e-05  
Sr  K  8.858976e+03  1.34e+02  0.001308  
Y  K  3.649255e+02  8.99e+01  5.059e-05  
Zr  K  8.285492e+02  1.06e+02  0.0001102  
Rh  K  1.319071e+04  3.92e+03  0.002973  
Rh  L  2.277000e+02  8.45e+01  0.003276  
Pd  K  1.152821e+04  5.66e+02  0.002842  
Pd  L  8.476988e+02  1.00e+02  0.009576  
Sn  K  1.113486e+03  1.08e+02  0.0004901  
Ba  L  6.145059e+01  4.62e+01  7.44e-05  
Au  L  2.005429e+02  5.62e+01  6.43e-05  
Hg  L  2.368151e+02  6.08e+01  7.163e-05  
Pb  L  1.153165e+03  1.33e+02  0.0003013  

SOURCE: t-ISic000711-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  5.161499e+02  4.49e+01  0.02706  
Cl  K  1.479503e+02  4.87e+01  0.003522  
Ar  K  1.085218e+03  6.89e+01  0.01305  
K  K  1.251616e+03  5.48e+01  0.00709  
Ca  K  2.695523e+05  5.23e+02  0.7918  
Sc  K  2.681160e+01  1.13e+02  4.717e-05  
Ti  K  8.198463e+01  3.08e+01  8.557e-05  
V  K  1.107558e+01  2.19e+01  7.169e-06  
Cr  K  9.274487e+01  1.84e+01  3.707e-05  
Mn  K  1.498134e+02  1.99e+01  3.968e-05  
Fe  K  3.084453e+03  5.94e+01  0.0005399  
