SOURCE: t0-10CC-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  1.369939e+02  3.79e+01  0.2103  
Si  K  1.225425e+03  5.05e+01  0.4852  
P  K  8.893214e+01  3.60e+01  0.01236  
S  K  4.954750e+01  3.34e+01  0.002583  
Cl  K  3.796558e+01  4.27e+01  0.0008985  
Ar  K  3.840009e+02  5.50e+01  0.00459  
K  K  6.292703e+03  9.02e+01  0.03544  
Ca  K  1.550056e+04  1.35e+02  0.04526  
Sc  K  7.445468e+01  4.16e+01  0.0001302  
Ti  K  4.429553e+02  4.81e+01  0.0004596  
V  K  5.386573e+01  2.88e+01  3.466e-05  
Cr  K  7.934321e+01  2.83e+01  3.153e-05  
Mn  K  4.351680e+02  3.32e+01  0.0001146  
Fe  K  5.864814e+04  2.45e+02  0.01021  
Co  K  4.356988e+02  4.91e+01  5.4e-05  
Ni  K  7.158846e+01  2.17e+01  8.13e-06  
Cu  K  5.339581e+02  3.22e+01  9.844e-05  
Zn  K  8.047545e+02  3.82e+01  0.0001283  
Ga  K  5.790230e+02  3.83e+01  0.0001694  
As  K  4.739575e+02  8.93e+01  0.0001422  
Rb  K  1.868709e+04  1.73e+02  0.002996  
Sr  K  7.160326e+03  1.29e+02  0.001058  
Y  K  7.919752e+03  1.54e+02  0.001098  
Zr  K  1.699042e+04  1.83e+02  0.002261  
Nb  K  2.920237e+03  1.31e+02  0.0003809  
Rh  L  1.454952e+01  6.93e+01  0.0002092  
Pd  L  3.767711e+02  8.23e+01  0.004254  
Cs  L  1.777436e+01  4.42e+01  2.635e-05  
Ba  L  4.493971e+01  8.63e+01  5.437e-05  
La  L  1.480511e+02  5.05e+01  0.0001418  
Ce  L  3.262781e+02  6.42e+01  0.000249  
Au  L  2.176277e+02  6.64e+01  7.005e-05  
Hg  L  2.485199e+02  7.78e+01  7.521e-05  
Pb  L  1.932236e+03  1.57e+02  0.0005059  
Th  L  2.055199e+03  1.52e+02  0.0003727  

SOURCE: t0-10CC-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  7.942228e+01  3.82e+01  0.1216  
Si  K  1.123720e+03  5.00e+01  0.4436  
P  K  6.889677e+01  3.64e+01  0.009546  
S  K  7.208771e+01  3.34e+01  0.003747  
Cl  K  9.704287e+01  4.33e+01  0.002289  
Ar  K  4.092514e+02  5.46e+01  0.004875  
K  K  6.537676e+03  9.14e+01  0.03669  
Ca  K  1.556145e+04  1.34e+02  0.04528  
Sc  K  3.105060e+00  4.25e+01  5.412e-06  
Ti  K  4.068649e+02  4.77e+01  0.0004208  
V  K  2.159435e+01  3.07e+01  1.385e-05  
Cr  K  6.631133e+01  2.78e+01  2.627e-05  
Mn  K  4.489775e+02  3.37e+01  0.0001179  
Fe  K  5.872595e+04  2.45e+02  0.01019  
Co  K  4.644217e+02  5.04e+01  5.738e-05  
Ni  K  9.805063e+00  2.10e+01  1.132e-06  
Cu  K  7.008474e+02  3.45e+01  0.0001293  
Zn  K  9.564155e+02  3.93e+01  0.0001523  
Ga  K  5.569819e+02  3.71e+01  0.0001674  
As  K  5.498014e+02  8.79e+01  0.0001646  
Rb  K  1.860247e+04  1.73e+02  0.002975  
Sr  K  7.212879e+03  1.29e+02  0.001063  
Y  K  7.714807e+03  1.53e+02  0.001067  
Zr  K  1.649051e+04  1.81e+02  0.002189  
Nb  K  3.017910e+03  1.31e+02  0.0003927  
Rh  L  1.704959e+00  6.83e+01  2.445e-05  
Pd  L  4.356390e+02  8.19e+01  0.004904  
Cs  L  1.424855e+01  4.51e+01  2.106e-05  
Ba  L  3.091596e+00  8.34e+01  3.729e-06  
La  L  4.016366e+01  4.98e+01  3.836e-05  
Ce  L  2.611730e+02  6.13e+01  0.0001987  
Au  L  2.171182e+02  6.55e+01  6.987e-05  
Hg  L  1.556312e+02  7.72e+01  4.7e-05  
Pb  L  1.545503e+03  1.54e+02  0.0004041  
Th  L  2.226328e+03  1.50e+02  0.0004027  

SOURCE: t0-10CC-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  7.451403e+01  3.70e+01  0.1144  
Si  K  1.128967e+03  4.95e+01  0.4472  
P  K  8.147026e+01  3.63e+01  0.01133  
S  K  5.065471e+01  3.38e+01  0.002642  
Cl  K  8.899300e-01  4.19e+01  2.107e-05  
Ar  K  4.353460e+02  5.39e+01  0.005205  
K  K  6.379344e+03  9.05e+01  0.03594  
Ca  K  1.552228e+04  1.34e+02  0.04534  
Sc  K  6.806800e+00  4.24e+01  1.191e-05  
Ti  K  3.787849e+02  4.70e+01  0.0003932  
V  K  2.842805e+01  3.05e+01  1.83e-05  
Cr  K  5.556331e+01  2.73e+01  2.209e-05  
Mn  K  4.276769e+02  3.26e+01  0.0001127  
Fe  K  5.841824e+04  2.44e+02  0.01018  
Co  K  4.190917e+02  4.90e+01  5.196e-05  
Ni  K  4.602978e+01  2.03e+01  5.223e-06  
Cu  K  5.729640e+02  3.37e+01  0.0001056  
Zn  K  8.687808e+02  3.99e+01  0.0001385  
Ga  K  5.867701e+02  3.88e+01  0.0001714  
As  K  4.686503e+02  8.84e+01  0.0001406  
Rb  K  1.889043e+04  1.74e+02  0.003029  
Sr  K  7.338618e+03  1.30e+02  0.001084  
Y  K  8.274008e+03  1.55e+02  0.001148  
Zr  K  1.759207e+04  1.86e+02  0.002342  
Nb  K  3.259188e+03  1.32e+02  0.0004253  
Rh  L  1.046137e+02  6.97e+01  0.001505  
Pd  L  3.268714e+02  8.10e+01  0.003692  
Cs  L  4.508711e+00  4.62e+01  6.687e-06  
Ba  L  1.008682e+02  8.31e+01  0.0001221  
La  L  1.174456e+02  5.06e+01  0.0001126  
Ce  L  3.131431e+02  6.18e+01  0.0002391  
Au  L  2.483548e+02  6.75e+01  7.995e-05  
Hg  L  2.688607e+02  7.98e+01  8.14e-05  
Pb  L  1.577576e+03  1.55e+02  0.0004132  
Th  L  2.587618e+03  1.54e+02  0.0004694  

SOURCE: t0-20CC-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  7.992113e+01  3.76e+01  0.1226  
Si  K  1.033010e+03  4.91e+01  0.4085  
P  K  2.312448e+01  3.66e+01  0.003211  
