SOURCE: HAL18-tK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  8.280564e+01  3.33e+01  0.1217  
Si  K  2.675481e+01  3.11e+01  0.01013  
P  K  4.338187e+01  4.24e+01  0.00576  
S  K  1.224622e+02  3.59e+01  0.006096  
Cl  K  5.229130e+01  4.47e+01  0.001181  
Ar  K  2.040650e+02  5.40e+01  0.002326  
K  K  1.029987e+03  4.85e+01  0.005531  
Ca  K  1.627049e+05  4.08e+02  0.453  
Sc  K  5.353668e+02  9.77e+01  0.0008926  
Ti  K  8.907744e+01  3.58e+01  8.814e-05  
V  K  2.238185e+01  2.25e+01  1.374e-05  
Cr  K  9.433759e+02  4.05e+01  0.0003576  
Mn  K  2.307524e+03  5.66e+01  0.00058  
Fe  K  1.188561e+04  1.13e+02  0.001977  
Co  K  5.127793e+01  2.66e+01  6.076e-06  
Ni  K  5.236314e+01  2.47e+01  7.188e-06  
Cu  K  3.319100e+02  2.54e+01  6.074e-05  
Zn  K  1.677941e+02  2.32e+01  2.622e-05  
Ga  K  5.044636e+01  2.30e+01  1.88e-05  
As  K  1.321971e+02  6.56e+01  3.845e-05  
Rb  K  8.755344e+02  7.41e+01  0.0001358  
Sr  K  2.853368e+04  2.01e+02  0.004076  
Y  K  6.283665e+02  8.49e+01  8.423e-05  
Zr  K  1.602717e+03  1.18e+02  0.0002061  
Nb  K  3.198523e+02  9.00e+01  4.031e-05  
Rh  L  1.741300e+02  7.68e+01  0.002402  
Pd  L  6.573882e+02  8.87e+01  0.007115  
Cs  L  5.124279e+01  3.70e+01  7.256e-05  
Ba  L  5.538643e+01  6.93e+01  6.399e-05  
La  L  2.576545e+00  3.69e+01  2.357e-06  
Ce  L  6.822013e+01  5.37e+01  4.971e-05  
Au  L  3.326462e+02  5.49e+01  0.0001055  
Hg  L  2.906803e+02  5.71e+01  8.524e-05  
Pb  L  3.988465e+02  1.16e+02  0.000102  
Th  L  7.648407e+02  1.13e+02  0.0001341  

SOURCE: HAL18-tK-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  4.720142e+01  3.06e+01  0.06988  
Si  K  1.216919e+01  2.91e+01  0.004643  
P  K  5.254209e+01  3.98e+01  0.007032  
S  K  6.643427e+01  3.29e+01  0.003334  
Cl  K  9.855325e+01  4.22e+01  0.002244  
Ar  K  1.691140e+02  4.99e+01  0.001944  
K  K  1.163211e+03  4.84e+01  0.006299  
Ca  K  1.418215e+05  3.81e+02  0.3981  
Sc  K  3.405683e+02  9.09e+01  0.0005726  
Ti  K  2.928683e+02  3.91e+01  0.0002922  
V  K  7.617807e+01  2.43e+01  4.714e-05  
Cr  K  9.590497e+02  4.00e+01  0.0003666  
Mn  K  2.319660e+03  5.66e+01  0.0005878  
Fe  K  1.629121e+04  1.31e+02  0.002731  
Co  K  1.407552e+02  3.11e+01  1.681e-05  
Ni  K  1.283044e+02  2.74e+01  1.662e-05  
Cu  K  3.873798e+02  2.67e+01  7.082e-05  
Zn  K  2.647506e+02  2.43e+01  4.143e-05  
Ga  K  9.206217e+01  2.33e+01  3.235e-05  
As  K  1.425847e+01  6.57e+01  4.162e-06  
Rb  K  7.670969e+02  7.29e+01  0.0001194  
Sr  K  3.727845e+04  2.24e+02  0.005347  
Y  K  4.599447e+02  8.21e+01  6.192e-05  
Zr  K  1.546514e+03  1.23e+02  0.0001997  
Nb  K  4.581055e+02  8.99e+01  5.799e-05  
Rh  L  9.616871e+00  6.92e+01  0.0001335  
Pd  L  5.924992e+02  8.06e+01  0.006456  
Cs  L  4.892180e+01  3.56e+01  6.983e-05  
Ba  L  2.366382e+01  6.76e+01  2.756e-05  
La  L  4.114202e+00  3.44e+01  3.794e-06  
Ce  L  1.522787e+01  5.05e+01  1.119e-05  
Au  L  2.393443e+02  5.30e+01  7.593e-05  
Hg  L  2.359329e+02  5.69e+01  6.944e-05  
Pb  L  5.369042e+02  1.17e+02  0.0001375  
Th  L  6.609293e+02  1.12e+02  0.0001164  

SOURCE: HAL18-tK-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  5.793528e+01  2.65e+01  0.08515  
Si  K  6.658480e+00  2.48e+01  0.002522  
P  K  8.037991e+01  3.53e+01  0.01068  
S  K  8.711429e+01  2.90e+01  0.004339  
Cl  K  1.122537e+02  3.65e+01  0.002537  
Ar  K  1.592476e+02  4.35e+01  0.001817  
K  K  8.574673e+02  4.19e+01  0.004609  
Ca  K  1.072043e+05  3.32e+02  0.2988  
Sc  K  1.717346e+02  7.85e+01  0.0002866  
Ti  K  2.036168e+02  3.33e+01  0.0002017  
V  K  2.781972e+01  2.01e+01  1.709e-05  
Cr  K  8.908050e+02  3.78e+01  0.000338  
