SOURCE: ISic000007-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  4.333685e+02  3.72e+01  0.02218  
Cl  K  9.751421e+01  3.89e+01  0.002265  
Ar  K  5.973584e+02  5.30e+01  0.007007  
K  K  6.287833e+02  4.06e+01  0.003475  
Ca  K  1.215226e+05  3.53e+02  0.3482  
Sc  K  6.365074e+02  8.70e+01  0.001092  
Ti  K  2.108297e+01  2.76e+01  2.147e-05  
V  K  2.433751e+01  1.99e+01  1.537e-05  
Cr  K  8.937214e+02  3.63e+01  0.0003486  
Mn  K  4.141516e+02  3.03e+01  0.0001071  
Fe  K  4.616486e+03  7.16e+01  0.0007892  
Co  K  3.758581e+01  2.15e+01  4.574e-06  
Ni  K  6.024562e+01  2.39e+01  6.923e-06  
Cu  K  4.120770e+02  2.72e+01  7.505e-05  
Zn  K  5.337072e+02  3.12e+01  8.384e-05  
As  K  1.000304e+02  8.19e+01  2.951e-05  
Rb  K  4.219110e+02  7.37e+01  6.649e-05  
Sr  K  2.591401e+04  1.94e+02  0.003763  
Y  K  5.002508e+02  8.75e+01  6.819e-05  
Zr  K  6.755244e+02  1.16e+02  8.835e-05  
Rh  K  1.308077e+04  3.51e+03  0.002898  
Rh  L  6.943891e+00  6.39e+01  9.808e-05  
Pd  K  8.929126e+03  5.07e+02  0.002163  
Pd  L  4.794195e+02  7.59e+01  0.005316  
Sn  K  9.650917e+02  9.67e+01  0.0004175  
Ba  L  4.586251e+00  4.39e+01  5.447e-06  
Au  L  2.886617e+02  5.57e+01  9.164e-05  
Hg  L  3.420385e+02  6.21e+01  0.0001018  
Pb  L  2.293349e+03  1.39e+02  0.0005912  

SOURCE: ISic000007-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  3.903156e+02  3.63e+01  0.01963  
Cl  K  1.079656e+02  3.90e+01  0.002463  
Ar  K  6.379829e+02  5.53e+01  0.007349  
K  K  6.243067e+02  4.11e+01  0.003388  
Ca  K  1.256219e+05  3.59e+02  0.3534  
Sc  K  4.633494e+02  8.69e+01  0.0007808  
Ti  K  2.124028e+01  2.75e+01  2.124e-05  
V  K  6.647899e+01  2.11e+01  4.123e-05  
Cr  K  8.466170e+02  3.56e+01  0.0003243  
Mn  K  3.461091e+02  2.93e+01  8.79e-05  
Fe  K  4.058151e+03  6.79e+01  0.0006817  
Co  K  3.087790e+01  2.17e+01  3.694e-06  
Ni  K  3.292585e+01  2.65e+01  4.169e-06  
Cu  K  4.148446e+02  2.82e+01  7.572e-05  
Zn  K  3.160286e+02  2.77e+01  4.943e-05  
As  K  1.826936e+02  8.55e+01  5.335e-05  
Rb  K  7.025893e+02  7.71e+01  0.0001095  
Sr  K  2.523763e+04  1.93e+02  0.003622  
Y  K  8.316593e+02  9.03e+01  0.000112  
Zr  K  8.808468e+02  1.16e+02  0.0001138  
Rh  K  1.512606e+04  3.63e+03  0.00331  
Rh  L  7.792597e+00  6.35e+01  0.0001084  
Pd  K  8.311122e+03  5.18e+02  0.001989  
Pd  L  5.615256e+02  7.79e+01  0.006129  
Sn  K  1.260204e+03  1.00e+02  0.0005382  
Ba  L  3.430914e+01  4.40e+01  4.004e-05  
Au  L  2.689080e+02  5.91e+01  8.522e-05  
Hg  L  2.305759e+02  6.32e+01  6.789e-05  
Pb  L  2.636208e+03  1.43e+02  0.0006752  

SOURCE: ISic000007-t-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  3.466803e+02  3.57e+01  0.01758  
Cl  K  3.755190e+01  3.75e+01  0.0008639  
Ar  K  5.773758e+02  5.27e+01  0.006707  
K  K  5.827423e+02  3.99e+01  0.003189  
Ca  K  1.173083e+05  3.46e+02  0.3329  
Sc  K  3.166794e+02  8.19e+01  0.0005382  
Ti  K  5.184627e+01  2.88e+01  5.229e-05  
V  K  2.688513e+00  1.80e+01  1.682e-06  
Cr  K  8.691696e+02  3.55e+01  0.0003358  
Mn  K  4.174489e+02  3.06e+01  0.0001069  
Fe  K  4.282148e+03  6.98e+01  0.0007252  
Co  K  1.928867e+01  2.21e+01  2.326e-06  
Ni  K  7.724227e-01  2.48e+01  9.337e-08  
Cu  K  4.097355e+02  2.73e+01  7.474e-05  
Zn  K  4.007865e+02  2.83e+01  6.282e-05  
As  K  1.274180e+02  8.30e+01  3.738e-05  
Rb  K  4.256569e+02  7.42e+01  6.666e-05  
Sr  K  2.575894e+04  1.94e+02  0.003716  
Y  K  7.734654e+02  8.95e+01  0.0001047  
Zr  K  7.077661e+02  1.16e+02  9.195e-05  
Rh  K  1.247422e+04  3.55e+03  0.002745  
Rh  L  7.494014e+01  6.17e+01  0.00105  
Pd  K  8.913592e+03  5.06e+02  0.002145  
Pd  L  4.462915e+02  7.45e+01  0.004906  
Sn  K  1.028453e+03  9.71e+01  0.0004418  
Ba  L  7.615357e+01  4.42e+01  8.96e-05  
Au  L  2.397804e+02  5.66e+01  7.606e-05  
Hg  L  2.907408e+02  6.10e+01  8.601e-05  
Pb  L  2.470826e+03  1.40e+02  0.0006347  

SOURCE: ISic000079-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  7.765518e+01  2.85e+01  0.004109  
Cl  K  5.993621e+01  3.44e+01  0.00144  
Ar  K  3.951284e+02  4.68e+01  0.004796  
K  K  7.771524e+02  4.05e+01  0.004445  
Ca  K  2.992888e+04  1.79e+02  0.08876  
Sc  K  2.873031e+02  5.44e+01  0.0005102  
Ti  K  1.120409e+03  5.29e+01  0.00118  
V  K  2.972368e+02  3.61e+01  0.0001941  
Cr  K  1.076452e+03  4.24e+01  0.0004339  
Mn  K  7.605398e+02  4.07e+01  0.0002031  
Fe  K  8.031377e+04  2.86e+02  0.01417  
Co  K  4.916764e+02  5.41e+01  6.165e-05  
Ni  K  1.197330e+02  2.34e+01  1.153e-05  
Cu  K  5.325704e+02  3.10e+01  9.42e-05  
Zn  K  2.670679e+03  5.95e+01  0.0004192  
As  K  6.076528e+02  8.88e+01  0.0001842  
Rb  K  2.658887e+03  9.79e+01  0.0004315  
Sr  K  2.487815e+04  1.95e+02  0.003722  
Y  K  1.409807e+03  1.03e+02  0.0001981  
