SOURCE: ISic000003-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  3.944801e+02  4.07e+01  0.01986  
Cl  K  2.701182e+02  4.69e+01  0.006171  
Ar  K  8.591960e+02  6.36e+01  0.00991  
K  K  1.116423e+03  5.16e+01  0.006066  
Ca  K  2.338115e+05  4.87e+02  0.6587  
Sc  K  1.326738e+02  1.04e+02  0.0002239  
Ti  K  9.491721e+01  2.86e+01  9.503e-05  
V  K  2.555845e+01  2.07e+01  1.587e-05  
Cr  K  5.830530e+01  1.64e+01  2.237e-05  
Mn  K  4.493332e+01  1.62e+01  1.143e-05  
Fe  K  2.460553e+03  5.36e+01  0.0004139  
Co  K  6.294678e+00  1.81e+01  7.542e-07  
Ni  K  6.113812e+01  2.74e+01  7.806e-06  
Cu  K  3.296831e+02  2.53e+01  6.032e-05  
Zn  K  2.442155e+02  2.40e+01  3.828e-05  
As  K  5.739977e+01  6.93e+01  1.679e-05  
Rb  K  3.237779e+02  6.99e+01  5.053e-05  
Sr  K  3.747152e+03  1.02e+02  0.0005388  
Y  K  5.356596e+02  8.50e+01  7.229e-05  
Zr  K  4.237113e+02  9.29e+01  5.485e-05  
Rh  K  1.369275e+04  3.67e+03  0.003001  
Rh  L  5.749317e+00  7.47e+01  8.007e-05  
Pd  K  7.256605e+03  5.29e+02  0.001739  
Pd  L  8.339592e+02  9.14e+01  0.009115  
Sn  K  1.208137e+03  1.00e+02  0.0005169  
Ba  L  4.201760e+01  4.34e+01  4.91e-05  
Au  L  1.910151e+02  5.09e+01  6.067e-05  
Hg  L  2.750593e+02  5.64e+01  8.114e-05  
Pb  L  1.042529e+03  1.24e+02  0.0002675  

SOURCE: ISic000003-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  9.568162e+02  4.78e+01  0.04847  
Cl  K  2.171550e+02  4.68e+01  0.004991  
Ar  K  8.518456e+02  6.26e+01  0.009886  
K  K  1.054572e+03  5.10e+01  0.005766  
Ca  K  2.255956e+05  4.80e+02  0.6395  
Sc  K  2.151387e+01  1.09e+02  3.653e-05  
Ti  K  3.491188e+02  4.17e+01  0.0003517  
V  K  4.616733e+01  2.81e+01  2.885e-05  
Cr  K  6.091527e+01  1.86e+01  2.351e-05  
Mn  K  7.487446e+01  1.94e+01  1.916e-05  
Fe  K  2.333190e+03  5.23e+01  0.0003948  
Co  K  8.297328e-01  1.83e+01  9.999e-08  
Ni  K  2.126431e+01  2.49e+01  2.623e-06  
Cu  K  3.551594e+02  2.62e+01  6.496e-05  
Zn  K  3.146753e+02  2.63e+01  4.94e-05  
As  K  8.770163e+00  7.19e+01  2.574e-06  
Rb  K  3.826428e+02  6.93e+01  5.994e-05  
Sr  K  3.936820e+03  1.02e+02  0.0005682  
Y  K  5.885497e+02  8.40e+01  7.973e-05  
Zr  K  8.328743e+02  9.41e+01  0.0001082  
Rh  K  8.924325e+03  3.56e+03  0.001964  
Rh  L  1.584216e+02  7.68e+01  0.002218  
Pd  K  8.253131e+03  5.25e+02  0.001986  
Pd  L  6.761238e+02  9.08e+01  0.007429  
Sn  K  1.111269e+03  9.93e+01  0.0004774  
Ba  L  6.610323e+02  6.39e+01  0.0007771  
Au  L  2.241107e+02  5.22e+01  7.123e-05  
Hg  L  2.876198e+02  5.68e+01  8.513e-05  
Pb  L  1.481912e+03  1.26e+02  0.0003811  

SOURCE: ISic000003-t-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  3.523325e+02  4.08e+01  0.01774  
Cl  K  2.485849e+02  4.78e+01  0.005678  
Ar  K  1.000138e+03  6.49e+01  0.01153  
K  K  1.079566e+03  5.17e+01  0.005865  
Ca  K  2.344602e+05  4.88e+02  0.6604  
Sc  K  1.548254e+02  1.05e+02  0.0002612  
Ti  K  1.559782e+02  3.18e+01  0.0001561  
V  K  1.049978e+01  2.14e+01  6.519e-06  
