SOURCE: capitellogrigio-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  1.250290e+02  3.03e+01  0.1886  
Si  K  1.812933e+02  3.11e+01  0.07051  
P  K  1.678062e+02  4.33e+01  0.02291  
S  K  2.230562e+02  3.62e+01  0.01142  
Cl  K  1.089462e+02  4.48e+01  0.002532  
Ar  K  9.926652e+02  6.36e+01  0.01165  
K  K  1.021750e+03  4.87e+01  0.00565  
Ca  K  1.814135e+05  4.31e+02  0.5202  
Sc  K  2.207938e+02  9.60e+01  0.0003792  
Ti  K  2.006167e+02  3.35e+01  0.0002044  
V  K  2.788782e+01  2.16e+01  1.762e-05  
Cr  K  2.215473e+01  1.74e+01  8.647e-06  
Mn  K  1.333075e+02  1.94e+01  3.448e-05  
Fe  K  5.517204e+03  7.72e+01  0.0009437  
Co  K  9.522776e+00  1.98e+01  1.159e-06  
Ni  K  2.172038e+01  2.25e+01  2.465e-06  
Cu  K  3.063817e+02  2.35e+01  5.568e-05  
Zn  K  4.249443e+02  2.70e+01  6.668e-05  
Ga  K  4.294022e+01  2.03e+01  1.268e-05  
As  K  8.788442e+01  6.15e+01  2.592e-05  
Rb  K  2.920434e+02  6.22e+01  4.602e-05  
Sr  K  4.641014e+03  1.03e+02  0.0006739  
Y  K  4.575911e+02  7.58e+01  6.237e-05  
Zr  K  3.301380e+02  8.47e+01  4.317e-05  
Nb  K  4.109198e+02  8.37e+01  5.268e-05  
Rh  L  1.892628e+02  7.61e+01  0.002674  
Pd  L  5.534054e+02  8.92e+01  0.006138  
Cs  L  4.032549e+01  3.44e+01  5.872e-05  
Ba  L  2.398898e+01  5.73e+01  2.851e-05  
La  L  1.066405e+01  3.31e+01  1.003e-05  
Ce  L  3.991312e+01  3.94e+01  2.991e-05  
Au  L  2.436982e+02  4.85e+01  7.725e-05  
Hg  L  2.048649e+02  5.10e+01  6.095e-05  
Pb  L  8.027353e+02  1.10e+02  0.0002068  
Th  L  6.413394e+02  1.02e+02  0.0001143  

SOURCE: capitellogrigio-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  1.150478e+02  3.05e+01  0.172  
Si  K  4.757217e+01  2.96e+01  0.01834  
