SOURCE: ISic000086-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.164928e+03  4.94e+01  0.06132  
Cl  K  4.846005e+02  5.13e+01  0.01158  
Ar  K  7.290933e+02  6.08e+01  0.008803  
K  K  2.106739e+03  6.13e+01  0.01199  
Ca  K  1.802313e+05  4.29e+02  0.5317  
Sc  K  1.309924e+00  9.68e+01  2.314e-06  
Ti  K  2.175748e+02  3.30e+01  0.000228  
V  K  4.249135e+01  2.32e+01  2.761e-05  
Cr  K  9.816596e+01  1.89e+01  3.937e-05  
Mn  K  2.575578e+02  2.44e+01  6.844e-05  
Fe  K  9.514054e+03  1.01e+02  0.00167  
Co  K  7.296157e+00  2.54e+01  9.106e-07  
Ni  K  7.640631e+01  2.70e+01  7.491e-06  
Cu  K  3.920217e+02  2.71e+01  6.968e-05  
Zn  K  1.591733e+03  4.68e+01  0.0002497  
As  K  7.214254e+01  6.88e+01  2.174e-05  
Rb  K  3.814385e+02  7.08e+01  6.153e-05  
Sr  K  4.023965e+03  1.04e+02  0.0005983  
Y  K  5.461848e+02  8.53e+01  7.627e-05  
Zr  K  7.000924e+02  9.51e+01  9.381e-05  
Rh  K  1.583590e+04  3.69e+03  0.003598  
Rh  L  1.290298e+02  7.83e+01  0.001872  
Pd  K  1.033592e+04  5.31e+02  0.002568  
Pd  L  5.840400e+02  8.93e+01  0.006655  
Sn  K  1.236361e+03  1.02e+02  0.0005488  
Ba  L  1.237368e+02  4.78e+01  0.0001511  
Au  L  3.878083e+02  5.77e+01  0.0001224  
Hg  L  2.677954e+02  5.66e+01  8.144e-05  
Pb  L  1.139425e+03  1.24e+02  0.0002963  

SOURCE: ISic000086-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  4.570025e+02  4.19e+01  0.02374  
Cl  K  7.022322e+02  5.53e+01  0.01656  
Ar  K  6.903663e+02  6.20e+01  0.008224  
K  K  2.634373e+03  6.63e+01  0.01479  
Ca  K  1.904415e+05  4.41e+02  0.5543  
Sc  K  3.635107e+01  9.63e+01  6.336e-05  
Ti  K  1.881831e+02  3.10e+01  0.0001946  
V  K  4.069653e+01  2.17e+01  2.61e-05  
Cr  K  8.408580e+01  1.79e+01  3.33e-05  
Mn  K  3.720294e+02  2.66e+01  9.763e-05  
Fe  K  6.904902e+03  8.70e+01  0.001198  
Co  K  4.806822e+00  2.38e+01  5.932e-07  
Ni  K  6.905990e+01  2.60e+01  7.365e-06  
Cu  K  3.650917e+02  2.64e+01  6.612e-05  
Zn  K  7.541516e+02  3.51e+01  0.0001188  
As  K  1.017147e+01  6.67e+01  3.032e-06  
Rb  K  3.744996e+02  7.10e+01  5.968e-05  
Sr  K  6.139255e+03  1.16e+02  0.0009017  
Y  K  5.613258e+02  8.58e+01  7.741e-05  
Zr  K  5.577860e+02  9.59e+01  7.381e-05  
Rh  K  9.901154e+03  3.63e+03  0.00222  
Rh  L  1.051273e+01  8.10e+01  0.0001506  
Pd  K  6.592166e+03  5.26e+02  0.001617  
Pd  L  6.485369e+02  9.19e+01  0.007292  
Sn  K  1.213924e+03  1.01e+02  0.0005316  
Ba  L  9.093620e+01  4.51e+01  0.0001096  
Au  L  3.574115e+02  5.54e+01  0.0001135  
Hg  L  2.803778e+02  5.78e+01  8.432e-05  
Pb  L  7.435524e+02  1.21e+02  0.0001928  

SOURCE: ISic000086-t-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  8.985202e+02  4.68e+01  0.04541  
Cl  K  6.901601e+02  5.49e+01  0.01583  
Ar  K  6.414911e+02  6.15e+01  0.007429  
K  K  2.404895e+03  6.46e+01  0.01312  
Ca  K  1.875454e+05  4.37e+02  0.5305  
Sc  K  1.120685e+01  9.82e+01  1.899e-05  
Ti  K  1.579155e+02  3.18e+01  0.0001587  
V  K  4.194161e+01  2.10e+01  2.615e-05  
Cr  K  8.305228e+01  1.76e+01  3.198e-05  
Mn  K  2.764421e+02  2.43e+01  7.057e-05  
Fe  K  8.451490e+03  9.50e+01  0.001427  
Co  K  1.107387e+01  2.38e+01  1.332e-06  
Ni  K  3.513442e+01  2.82e+01  4.335e-06  
Cu  K  3.098857e+02  2.43e+01  5.658e-05  
Zn  K  2.685858e+02  2.44e+01  4.209e-05  
As  K  3.247946e+01  6.88e+01  9.513e-06  
Rb  K  5.633983e+02  7.22e+01  8.808e-05  
Sr  K  3.651645e+03  1.01e+02  0.0005259  
Y  K  7.118445e+02  8.58e+01  9.623e-05  
Zr  K  9.094442e+02  9.50e+01  0.0001179  
Rh  K  5.454379e+03  3.60e+03  0.001198  
Rh  L  7.371068e+01  8.18e+01  0.00103  
Pd  K  6.717618e+03  5.23e+02  0.001613  
Pd  L  7.238960e+02  9.35e+01  0.007937  
Sn  K  9.904853e+02  9.91e+01  0.0004246  
Ba  L  2.202599e+01  4.55e+01  2.584e-05  
Au  L  1.836966e+02  5.36e+01  5.828e-05  
Hg  L  2.632091e+02  5.84e+01  7.775e-05  
Pb  L  8.205874e+02  1.23e+02  0.0002106  

SOURCE: ISic000086-t-d.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  3.572688e+02  4.05e+01  0.01864  
Cl  K  6.520155e+02  5.54e+01  0.01544  
Ar  K  6.946174e+02  6.30e+01  0.00831  
K  K  2.317426e+03  6.40e+01  0.01306  
Ca  K  2.093070e+05  4.62e+02  0.6118  
Sc  K  7.958647e-01  1.02e+02  1.393e-06  
Ti  K  1.632309e+02  3.04e+01  0.0001695  
V  K  2.928693e+00  2.02e+01  1.886e-06  
Cr  K  5.366531e+01  1.73e+01  2.134e-05  
Mn  K  2.576790e+02  2.39e+01  6.79e-05  
Fe  K  7.524200e+03  9.02e+01  0.00131  
Co  K  2.288987e+01  2.51e+01  2.836e-06  
Ni  K  1.262456e+01  2.66e+01  1.322e-06  
Cu  K  2.403133e+02  2.37e+01  4.343e-05  
Zn  K  5.658117e+02  3.16e+01  8.916e-05  
As  K  7.028180e+00  6.78e+01  2.102e-06  
Rb  K  5.671914e+02  7.21e+01  9.071e-05  
Sr  K  4.699521e+03  1.08e+02  0.0006927  
Y  K  5.730165e+02  8.52e+01  7.931e-05  
Zr  K  7.050917e+02  9.50e+01  9.364e-05  
Rh  K  1.194658e+04  3.62e+03  0.002689  
Rh  L  7.319097e+01  8.32e+01  0.001052  
Pd  K  9.728084e+03  5.31e+02  0.002395  
Pd  L  8.905936e+02  9.55e+01  0.01005  
Sn  K  1.049624e+03  9.98e+01  0.0004614  
Ba  L  4.691400e+01  4.31e+01  5.678e-05  
Au  L  2.321315e+02  5.19e+01  7.372e-05  
Hg  L  3.219071e+02  5.76e+01  9.713e-05  
Pb  L  8.808006e+02  1.23e+02  0.0002288  

SOURCE: ISic000086-t-e.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  3.384012e+02  3.87e+01  0.01698  
Cl  K  7.714260e+02  5.58e+01  0.01756  
Ar  K  8.293969e+02  6.04e+01  0.009532  
K  K  2.773972e+03  6.71e+01  0.01502  
Ca  K  1.743756e+05  4.23e+02  0.4895  
Sc  K  3.039721e+01  9.44e+01  5.11e-05  
Ti  K  2.554832e+02  3.34e+01  0.0002549  
V  K  6.949224e+01  2.18e+01  4.3e-05  
Cr  K  1.003131e+02  1.69e+01  3.834e-05  
