SOURCE: ISic000672-tK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  6.302217e+01  3.01e+01  0.09149  
Si  K  9.801025e+01  3.09e+01  0.03665  
P  K  3.337593e+01  3.86e+01  0.004375  
S  K  1.232190e+02  3.42e+01  0.006055  
Cl  K  3.838384e+01  4.20e+01  0.0008556  
Ar  K  4.994038e+02  5.59e+01  0.005619  
K  K  6.628120e+02  4.25e+01  0.003513  
Ca  K  1.400249e+05  3.79e+02  0.3847  
Sc  K  4.485873e+02  9.07e+01  0.0007381  
Ti  K  6.811507e+01  3.19e+01  6.651e-05  
V  K  1.027565e+01  1.84e+01  6.223e-06  
Cr  K  8.364696e+02  3.69e+01  0.000313  
Mn  K  7.247686e+01  2.15e+01  1.798e-05  
Fe  K  2.917038e+03  5.77e+01  0.0004788  
Co  K  3.301364e+01  1.92e+01  3.862e-06  
Ni  K  2.338454e+01  2.19e+01  3.341e-06  
Cu  K  6.255200e+02  3.08e+01  0.0001137  
Zn  K  2.459328e+02  2.37e+01  3.812e-05  
Ga  K  4.280202e+01  2.14e+01  1.651e-05  
As  K  5.546429e+01  6.41e+01  1.598e-05  
Rb  K  2.824395e+02  6.60e+01  4.337e-05  
Sr  K  6.128095e+03  1.16e+02  0.0008667  
Y  K  3.510097e+02  7.82e+01  4.658e-05  
Zr  K  6.774596e+02  9.12e+01  8.624e-05  
Nb  K  3.874791e+02  8.58e+01  4.834e-05  
Rh  L  1.520160e+02  7.19e+01  0.002072  
Pd  L  5.421101e+02  8.50e+01  0.005798  
Cs  L  1.709612e+01  3.45e+01  2.39e-05  
Ba  L  6.623823e+01  5.94e+01  7.555e-05  
La  L  3.528901e+01  3.23e+01  3.187e-05  
Ce  L  1.291518e+01  4.43e+01  9.289e-06  
Au  L  2.254403e+02  5.09e+01  7.1e-05  
Hg  L  2.243283e+02  5.40e+01  6.516e-05  
Pb  L  6.469478e+02  1.15e+02  0.000164  
Th  L  7.036929e+02  1.08e+02  0.0001222  

SOURCE: ISic000672-tK-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  3.828889e+01  2.44e+01  0.05472  
Si  K  2.417267e+01  2.42e+01  0.008895  
P  K  2.221830e+01  3.42e+01  0.002866  
S  K  1.150200e+02  2.96e+01  0.00556  
Cl  K  6.446322e+01  3.49e+01  0.001413  
Ar  K  6.097892e+02  5.08e+01  0.006747  
K  K  4.593938e+02  3.59e+01  0.002394  
Ca  K  1.227050e+05  3.54e+02  0.3315  
Sc  K  2.090456e+02  8.15e+01  0.0003382  
Ti  K  5.537708e+00  2.41e+01  5.317e-06  
V  K  1.879330e+01  1.64e+01  1.119e-05  
Cr  K  8.506690e+02  3.64e+01  0.000313  
Mn  K  7.848061e+01  2.02e+01  1.915e-05  
Fe  K  1.017945e+03  3.55e+01  0.0001644  
Co  K  2.630649e+01  1.45e+01  3.028e-06  
Ni  K  2.407000e+00  1.71e+01  3.668e-07  
Cu  K  3.938321e+02  2.48e+01  7.105e-05  
Zn  K  1.009244e+02  1.87e+01  1.549e-05  
Ga  K  2.387980e+01  2.05e+01  9.667e-06  
As  K  1.434696e+02  5.98e+01  4.089e-05  
Rb  K  5.575246e+02  6.53e+01  8.463e-05  
Sr  K  5.032100e+03  1.07e+02  0.0007034  
Y  K  3.617151e+02  7.48e+01  4.744e-05  
Zr  K  5.193533e+02  8.69e+01  6.533e-05  
Nb  K  3.276424e+02  8.30e+01  4.039e-05  
Rh  L  6.566646e+01  5.78e+01  0.0008822  
Pd  L  4.807413e+02  7.14e+01  0.005066  
Cs  L  2.246560e+01  2.83e+01  3.089e-05  
Ba  L  5.215288e+00  5.03e+01  5.851e-06  
La  L  3.824613e+01  2.75e+01  3.397e-05  
Ce  L  1.511787e+01  4.15e+01  1.07e-05  
Au  L  1.857709e+02  4.84e+01  5.802e-05  
Hg  L  3.084613e+02  5.30e+01  8.86e-05  
Pb  L  5.937876e+02  1.09e+02  0.000149  
Th  L  6.298316e+02  1.03e+02  0.0001081  

SOURCE: ISic000672-tK-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  9.384199e+01  2.71e+01  0.1361  
Si  K  1.348992e+02  2.67e+01  0.0504  
P  K  1.285485e+02  3.69e+01  0.01684  
S  K  1.700003e+02  3.12e+01  0.008347  
Cl  K  1.157980e+02  3.80e+01  0.002579  
Ar  K  4.728900e+02  5.16e+01  0.005316  
K  K  5.663935e+02  3.90e+01  0.002999  
Ca  K  1.327950e+05  3.68e+02  0.3646  
Sc  K  5.121170e+02  8.67e+01  0.000842  
Ti  K  1.936430e+00  2.68e+01  1.889e-06  
V  K  1.269236e+01  1.72e+01  7.681e-06  
Cr  K  7.823661e+02  3.55e+01  0.0002925  
Mn  K  6.009606e+01  1.96e+01  1.49e-05  
Fe  K  9.663918e+02  3.53e+01  0.0001585  
Co  K  3.107225e+00  1.41e+01  3.632e-07  
Ni  K  1.473647e+01  2.09e+01  2.082e-06  
Cu  K  4.702134e+02  2.77e+01  8.531e-05  
Zn  K  1.943773e+02  2.21e+01  3.007e-05  
Ga  K  4.273512e+01  2.14e+01  1.633e-05  
As  K  1.165896e+02  6.23e+01  3.355e-05  
Rb  K  4.275557e+02  6.58e+01  6.557e-05  
Sr  K  5.866474e+03  1.14e+02  0.0008286  
Y  K  2.582738e+02  7.64e+01  3.423e-05  
Zr  K  4.439242e+02  8.96e+01  5.644e-05  
Nb  K  2.952267e+02  8.60e+01  3.678e-05  
Rh  L  4.055785e+01  6.28e+01  0.0005524  
Pd  L  5.781264e+02  7.67e+01  0.006177  
Cs  L  1.246594e+00  2.96e+01  1.741e-06  
Ba  L  4.366910e+01  5.52e+01  4.977e-05  
La  L  2.154979e+01  2.69e+01  1.944e-05  
Ce  L  7.558177e+01  4.36e+01  5.432e-05  
Au  L  2.313834e+02  5.09e+01  7.273e-05  
Hg  L  2.221075e+02  5.27e+01  6.442e-05  
Pb  L  6.625901e+02  1.12e+02  0.0001677  
Th  L  7.921736e+02  1.07e+02  0.0001373  

SOURCE: ISic000674-tK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  4.410655e+01  3.13e+01  0.06557  
Si  K  3.754709e+01  3.00e+01  0.01439  
P  K  1.886218e+01  3.42e+01  0.002535  
S  K  1.551527e+02  3.27e+01  0.007821  
Cl  K  6.711004e+01  4.01e+01  0.001535  
Ar  K  4.496240e+02  5.09e+01  0.005192  
K  K  2.887869e+02  3.37e+01  0.001571  
Ca  K  6.425984e+04  2.58e+02  0.1813  
Sc  K  1.915312e+02  6.71e+01  0.0003236  
Ti  K  6.157209e+01  3.17e+01  6.172e-05  
V  K  2.759964e+01  2.04e+01  1.716e-05  
Cr  K  9.229457e+02  3.92e+01  0.0003545  
Mn  K  5.606002e+01  2.19e+01  1.427e-05  
Fe  K  2.353224e+03  5.25e+01  0.0003963  
Co  K  1.664254e+01  1.81e+01  1.996e-06  
Ni  K  3.639099e+01  2.38e+01  4.542e-06  
Cu  K  2.725625e+03  5.70e+01  0.0004974  
Zn  K  2.242388e+03  5.35e+01  0.000351  
Ga  K  6.702911e+01  2.43e+01  2.258e-05  
As  K  8.145941e+00  7.02e+01  2.382e-06  
Rb  K  5.999238e+02  7.53e+01  9.361e-05  
Sr  K  2.107718e+03  9.36e+01  0.000303  
Y  K  4.673173e+02  8.83e+01  6.305e-05  
Zr  K  2.411758e+02  9.38e+01  3.122e-05  
Nb  K  1.740378e+02  9.76e+01  2.208e-05  
Rh  L  1.562039e+02  6.62e+01  0.002177  
Pd  L  3.041863e+02  7.63e+01  0.003327  
Cs  L  8.213713e-01  3.58e+01  1.178e-06  
Ba  L  7.490081e-01  6.16e+01  8.762e-07  
La  L  3.798381e+01  3.56e+01  3.518e-05  
Ce  L  8.670993e+01  5.00e+01  6.398e-05  
Au  L  5.202635e+02  5.85e+01  0.0001649  
Hg  L  4.033653e+02  5.96e+01  0.0001189  
Pb  L  7.786138e+02  1.29e+02  0.0001996  
Th  L  9.714731e+02  1.20e+02  0.0001714  

SOURCE: ISic000674-tK-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  2.268003e+01  2.99e+01  0.03288  
Si  K  1.295946e+02  3.13e+01  0.04838  
P  K  1.575641e-01  3.45e+01  2.062e-05  
S  K  1.406546e+02  3.26e+01  0.0069  
Cl  K  3.930503e-01  3.78e+01  8.746e-06  
