ISic,As,Au,Ba,Ca,Co,Cr,Cu,Fe,Hg,K,Mn,Ni,Pb,Rb,Sr,Ti,V,Y,Zn,Zr,SiO2,TiO2,Fe2O3,MnO,CaO,K2O
ISic000655,2.8238592419999997,6.57899942,55.03639218,97.26472500000001,0.149080400427,44.062158139999994,57.519999999999996,22.10390930401832,7.17232275,1.2171032999999998,0.00203552287,0.3818,18.622331900000002,4.04655779,191.922804,0.027273096400000002,16.509999999999998,11.43859483,7.02591954,10.30018723,,,,,,
ISic000655,1.268194044,6.227324240000001,62.800489199999994,101.662295,0.3131686425,23.6065025,53.32,10.356529821993684,13.244375199999999,1.2209373,0.00196174933,0.136,11.9384469,7.1980078899999995,177.619614,0.019801524400000003,2.813,12.08771565,9.62042454,10.74044697,,,,,,
ISic000655,1.197104607,9.236100780000001,100.6546835,102.22249500000001,0.5361382425,11.877798100000001,56.61,37.67174588739383,5.90752605,1.4812659,0.004170857,5.229,15.7431199,7.95411626,198.81434099999998,0.07583088,36.23,12.27035801,14.56036206,15.7467134,,,,,,
ISic000655,3.124302921,8.7815966,107.5541618,105.219565,0.5979638217,45.235028580000005,59.339999999999996,23.338605291122,6.88645813,1.3426668,0.0042455949,0.44420000000000004,13.1826778,7.42687746,144.852306,0.033670397600000006,2.9699999999999998,6.7293837100000005,12.31870974,8.531045330000001,,,,,,
ISic000655,0.3257660478,7.25252937,35.8213086,104.911455,0.00259059392592,8.72198145,60.96,42.779548983198936,6.43606711,1.3558941,0.0062731618000000005,2.6350000000000002,20.3190104,6.86848364,361.090533,0.04895552400000001,17.09,7.99060325,18.08369985,7.26158473,,,,,,
ISic000655,5.32392426,5.74094307,104.75941379999999,104.36526,0.0427763273,17.76202946,54.08,17.899570974828162,6.7558653,1.3066271999999999,0.00062225329,6.438,16.452640000000002,5.9146607200000005,140.041233,0.011731483200000002,1.4649999999999999,7.24028869,10.896920999999999,10.4662975,,,,,,
ISic000656,10.59076941,6.68080013,62.959004160000006,92.18091000000001,0.035240773568,28.83472158,52.32,96.15206562624516,10.457709300000001,1.6493868,0.0058199126,13.8,23.3935975,11.12833349,154.994568,0.131923428,7.974,6.42827063,13.10225025,20.351884300000002,,,,,,
ISic000656,7.64860074,3.1496522700000003,92.30184779999999,106.21392,0.65263352,32.79067442,44.97,98.78071700660614,8.20266933,1.6442108999999998,0.0034451761000000003,1.72,19.4758126,12.4739907,196.473819,0.08099778800000001,18.29,7.2933537,308.84987520000004,16.2598996,,,,,,
ISic000656,0.4718366793,9.01193356,28.53476368,101.07408500000001,0.7781202933,16.46988406,60.949999999999996,23.304070354108497,6.69828106,1.2144195,0.0032619476999999997,4.495,17.7174367,6.6264331,163.70651099999998,0.0363504988,7.887,8.68291652,8.821317,12.95525057,,,,,,
ISic000656,4.477596729,8.01140739,32.171225400000004,100.569905,0.5746754048,34.818348740000005,67.97,42.54458961815999,7.0232207,1.4540445,0.0056945458,7.293,17.2958378,8.927111499999999,166.69717799999998,0.0318526868,1.152,11.7853685,10.554446339999998,11.35897139,,,,,,
